cell_iname	cellosaurus_id	donor_age	donor_age_death	donor_disease_age_onset	doubling_time	growth_medium	provider_catalog_id	feature_id	cell_type	donor_ethnicity	donor_sex	donor_tumor_phase	cell_lineage	primary_disease	subtype	provider_name	growth_pattern	ccle_name	cell_alias
DU145	CVCL_0105	69			48	EMEM ATCC catalog # 3-23	HTB-81	c-289	tumor	Caucasian	M	Metastatic	prostate	prostate cancer	carcinoma	ATCC	adherent	DU145_PROSTATE	DU 145
PC3	CVCL_0035	62			72	F-12K ATCC catalog # 3-24	CRL-1435	c-214	tumor	Caucasian	M	Metastatic	prostate	prostate cancer	adenocarcinoma	ATCC	mix	PC3_PROSTATE	PC.3|PC-3
RWPE1	CVCL_3791	54			22	Invitrogen (GIBCO) as part of a kit: Keratinocyte Serum Free Medium (K-SFM), Kit Catalog Number 17005-042	CRL-11609	""	tumor	Caucasian	M	Unknown	prostate	prostate cancer	carcinoma	ATCC	adherent	""	RWPE-1
VCAP	CVCL_2235	""			220	DMEM ATCC catalog # 3-22	""	""	tumor	Caucasian	M	Metastatic	prostate	prostate cancer	adenocarcinoma	ATCC	adherent	VCAP_PROSTATE	Vcap
A204	CVCL_1058	1			72	ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007	HTB-82	c-374	tumor	Unknown	F	Primary	soft_tissue	embryonal cancer	rhabdomyosarcoma	ATCC	adherent	A204_SOFT_TISSUE	A-204
AN3CA	CVCL_0028	55			48	MEM (Invitrogen catalogue #12571-63)	HTB-111	c-110	tumor	Caucasian	F	Metastatic	endometrium	endometrial cancer	adenocarcinoma	ATCC	adherent	AN3CA_ENDOMETRIUM	AN-3|AN3-CA
TOV112D	CVCL_3612	42			36	1:1 mixture of MCDB 15 and medium 199	CRL-11731	c-150	tumor	Unknown	F	Primary	ovary	endometrial cancer	adenocarcinoma	ATCC	adherent	TOV112D_OVARY	TOV-112D|TOV-112
WI38	CVCL_0579	3 months			24	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	CCL-75	""	normal	Caucasian	F	Unknown	lung	normal lung sample	normal lung sample	ATCC	adherent	""	WI-38|AG06814-J
JURKAT	CVCL_0065	""			25-35	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute lymphoblastic leukemia (all)	DSMZ	suspension	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	FCCH1024
NALM6	CVCL_0092	19			36	RPMI-164 ATCC catalog # 3-21	ACC 128	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute lymphoblastic leukemia (all)	DSMZ	suspension	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-6|Nalm 6
PL21	CVCL_2161	24			50	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute myelogenous leukemia (aml)	DSMZ	suspension	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21
OCILY19	CVCL_1878	27			40	MEM Alpha medium Invitrogen Catalog # A149-1	""	""	tumor	Unknown	F	Primary	haematopoietic_and_lymphoid_tissue	lymphoma	b-cell lymphoma	DSMZ	suspension	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Ly19|OCI-LY-19
SUDHL4	CVCL_0539	38			40	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Unknown	M	Primary	haematopoietic_and_lymphoid_tissue	lymphoma	b-cell lymphoma	DSMZ	suspension	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-4|DHL-4
WSUDLCL2	CVCL_1902	41			50-70	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Caucasian	M	Primary	haematopoietic_and_lymphoid_tissue	lymphoma	b-cell lymphoma	DSMZ	suspension	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WSU-DLCL(2)|WSU-DLCL2
BEN	CVCL_1082	71			40-50	DMEM ATCC catalog # 3-22	""	c-176	tumor	Unknown	M	Unknown	lung	lung cancer	non small cell lung cancer	DSMZ	adherent	BEN_LUNG	""
DV90	CVCL_1184	50			48	RPMI-164 ATCC catalog # 3-21	""	c-511	tumor	Unknown	M	Unknown	lung	lung cancer	adenocarcinoma	DSMZ	adherent	DV90_LUNG	DV-90
HCC15	CVCL_2057	48			48	RPMI-164 (Hyclone Cat.# SH327.2)	""	c-318	tumor	Unknown	M	Primary	lung	lung cancer	non small cell lung carcinoma	DSMZ	adherent	HCC15_LUNG	HCC-15
HCC44	CVCL_2060	54			48	RPMI-164 (Hyclone Cat.# SH327.2)	""	c-293	tumor	Unknown	F	Primary	lung	lung cancer	non small cell lung carcinoma	DSMZ	adherent	HCC44_LUNG	HCC-44
IGR37	CVCL_2075	26			36	DMEM ATCC catalog # 3-22	""	c-135	tumor	Unknown	M	Metastatic	skin	skin cancer	melanoma	DSMZ	adherent	IGR37_SKIN	IGR 37|IGR-37
MELHO	CVCL_1402	""			60	RPMI-164 ATCC catalog # 3-21	""	c-53	tumor	Unknown	F	Primary	skin	skin cancer	melanoma	DSMZ	adherent	MELHO_SKIN	MEL-HO|Ho
CL34	CVCL_1980	""			48	DMEM ATCC catalog # 3-22	""	c-248	tumor	Unknown	F	Primary	large_intestine	colon cancer	adenocarcinoma	DSMZ	adherent	CL34_LARGE_INTESTINE	CL-34
BC3C	CVCL_1958	""			25-30	McCoy's 5A Invitrogen catalog #166-82	""	c-34	tumor	Caucasian	F	Primary	urinary_tract	bladder cancer	transitional cell carcinoma	DSMZ	adherent	BC3C_URINARY_TRACT	BC-3C|BC3c
CAL29	CVCL_1808	""			50-60	DMEM ATCC catalog # 3-22	""	c-6	tumor	Unknown	F	Primary	urinary_tract	bladder cancer	transitional cell carcinoma	DSMZ	adherent	CAL29_URINARY_TRACT	CAL 29|CAL-29
VMCUB1	CVCL_1786	""			30-45	DMEM ATCC catalog # 3-22	""	c-141	tumor	Unknown	M	Primary	urinary_tract	bladder cancer	transitional cell carcinoma	DSMZ	adherent	VMCUB1_URINARY_TRACT	VM-CUB-1|VM Cub 1
EFO27	CVCL_1192	36			36	RPMI-164 ATCC catalog # 3-21	""	c-145	tumor	Unknown	F	Primary	ovary	ovarian cancer	carcinoma	DSMZ	adherent	EFO27_OVARY	EFO 27|EFO-27
LNCAP	CVCL_0395	50			48-60	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001	""	""	tumor	Caucasian	M	Metastatic	prostate	prostate cancer	carcinoma	DSMZ	adherent	""	LNCap
YAPC	CVCL_1794	43			48	RPMI-164 (Hyclone Cat.# SH327.2)	""	c-112	tumor	Japanese	M	Unknown	pancreas	pancreatic cancer	carcinoma	DSMZ	adherent	YAPC_PANCREAS	""
MFE319	CVCL_2112	""			96	RPMI:MEM(1:1) (RPMI-164 (Hyclone Cat.# SH327.2):MEM (Invitrogen catalogue #12571-63))	""	c-448	tumor	Unknown	F	Unknown	endometrium	endometrial cancer	adenocarcinoma	DSMZ	adherent	MFE319_ENDOMETRIUM	MFE-319
OC314	CVCL_1616	""			48	RPMI-164 (Hyclone Cat.# SH327.2)	""	c-299	tumor	Unknown	F	Primary	ovary	ovarian cancer	carcinoma	ICLC	adherent	OC314_OVARY	OC-314|OC 314
OC316	CVCL_1618	""			36	""	""	c-30	tumor	Unknown	F	Unknown	ovary	ovarian cancer	adenocarcinoma	ICLC	adherent	OC316_OVARY	OC 316|OC-316
HFL1	CVCL_0298	""			""	ATCC-formulated F-12K Medium, Catalog No. 30-2004. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	IFO50074	""	normal	Caucasian	M	Unknown	lung	normal lung sample	normal lung sample	JCRB	adherent	""	""
IMR90	CVCL_0347	16 weeks			< 24	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	JCRB0516	""	normal	Caucasian	F	Unknown	lung	normal lung sample	normal lung sample	JCRB	adherent	""	IMR-90|I90
HCC1588	CVCL_A351	""			60	RPMI-164 Invitrogen catalog # 11875	""	c-345	tumor	Unknown	F	Unknown	lung	lung cancer	non small cell lung carcinoma	KCLB	mix	HCC1588_LUNG	HCC-1588
HCC95	CVCL_5137	""			60	RPMI-164 Invitrogen catalog # 11875	""	c-329	tumor	Unknown	M	Unknown	lung	lung cancer	non small cell lung carcinoma	KCLB	adherent	HCC95_LUNG	HCC-95
SNU1040	CVCL_5003	""			63	RPMI-164 Invitrogen catalog # 11875	""	""	tumor	Unknown	M	Unknown	large_intestine	colon cancer	carcinoma	KCLB	mix	SNU1040_LARGE_INTESTINE	NCI-SNU-1040|SNU-1040
SNU407	CVCL_5058	""			42	RPMI-164 Invitrogen catalog # 11875	""	c-109	tumor	Unknown	M	Unknown	large_intestine	colon cancer	carcinoma	KCLB	adherent	SNU407_LARGE_INTESTINE	NCI-SNU-407|SNU-407
SNUC4	CVCL_5111	""			27	RPMI-164 Invitrogen catalog # 11875	""	c-225	tumor	Unknown	M	Unknown	large_intestine	colon cancer	adenocarcinoma	KCLB	adherent	SNUC4_LARGE_INTESTINE	C4|SNU-C4
SNUC5	CVCL_5112	""			67	RPMI-164 Invitrogen catalog # 11875	""	c-278	tumor	Asian	F	Unknown	large_intestine	colon cancer	adenocarcinoma	KCLB	adherent	SNUC5_LARGE_INTESTINE	SNU-C5|NCI-SNU-C5
CORL23	CVCL_1139	""			48	RPMI-164 (Hyclone Cat.# SH327.2)	92031919	c-18	tumor	Unknown	M	Unknown	lung	lung cancer	non small cell lung cancer	ECACC	adherent	CORL23_LUNG	COR-L23
GP2D	CVCL_2450	""			84	DMEM:F12(1:1)+ 1% FBS	""	c-412	tumor	Unknown	F	Recurrent	large_intestine	colon cancer	adenocarcinoma	ECACC	adherent	GP2D_LARGE_INTESTINE	Gp2d
HT115	CVCL_2520	""			36	DMEM ATCC catalog # 3-22	""	""	tumor	Unknown	Unknown	Unknown	large_intestine	colon cancer	carcinoma	ECACC	adherent	HT115_LARGE_INTESTINE	HT-115|HT 115
MDST8	CVCL_2588	""			""	DMEM ATCC catalog # 3-22	""	""	tumor	Unknown	Unknown	Unknown	large_intestine	colon cancer	carcinoma	ECACC	adherent	MDST8_LARGE_INTESTINE	T8
COV434	CVCL_2010	""			120	DMEM ATCC catalog # 3-22	""	c-538	tumor	Unknown	F	Primary	ovary	ovarian cancer	granulosa	ECACC	adherent	COV434_OVARY	COV-434
COV644	CVCL_2425	""			84	DMEM ATCC catalog # 3-22	""	""	tumor	Unknown	F	Primary	ovary	ovarian cancer	carcinoma	ECACC	adherent	COV644_OVARY	COV-644
OAW28	CVCL_1614	""			96	DMEM ATCC catalog # 3-22	""	""	tumor	Unknown	F	Unknown	ovary	ovarian cancer	cystadenocarcinoma	ECACC	adherent	OAW28_OVARY	OAW 28
OV7	CVCL_2675	78			36	DMEM:HAMS F12 (1:1) +5%FBS	""	c-175	tumor	Unknown	F	Primary	ovary	ovarian cancer	carcinoma	ECACC	adherent	OV7_OVARY	OV-7
BICR6	CVCL_2314	""			96	DMEM ATCC catalog # 3-22	""	c-544	tumor	Caucasian	M	Primary	upper_aerodigestive_tract	head and neck cancer	carcinoma	ECACC	adherent	BICR6_UPPER_AERODIGESTIVE_TRACT	BICR-6|BICR 6
KMS34	CVCL_2996	60			100	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Unknown	F	Primary	haematopoietic_and_lymphoid_tissue	myeloma	myeloma	HSRRB	suspension	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-34
NOMO1	CVCL_1609	""			38	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Unknown	F	Recurrent	haematopoietic_and_lymphoid_tissue	leukemia	acute myeloid leukemia (aml)	HSRRB	suspension	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO-1
SKM1	CVCL_0098	""			48	RPMI-164 ATCC catalog # 3-21	""	""	tumor	Japanese	M	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute myeloid leukemia (aml)	HSRRB	suspension	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM-1
U251MG	CVCL_0021	""			60	MEM (Invitrogen catalogue #12571-63)	""	c-54	tumor	Unknown	M	Primary	central_nervous_system	brain cancer	astrocytoma	HSRRB	adherent	U251MG_CENTRAL_NERVOUS_SYSTEM	251 MG|U-251MG
YH13	CVCL_1795	""			48	MEM (Invitrogen catalogue #12571-63)	""	c-119	tumor	Unknown	M	Primary	central_nervous_system	brain cancer	astrocytoma	HSRRB	adherent	YH13_CENTRAL_NERVOUS_SYSTEM	YH-13|YH
HUH7	CVCL_0336	57			36	IS-RPMI(Gann.75,151-158,1984), RPMI1640 + 0.2 % lactoalubumin + 1 % FBS	""	c-259	tumor	Japanese	M	Primary	liver	liver cancer	carcinoma	HSRRB	adherent	HUH7_LIVER	HUH-7
JHH5	CVCL_0364	50			48	William's E Medium Invitrogen catalog # 12551	""	c-294	tumor	Japanese	M	Primary	liver	liver cancer	carcinoma	HSRRB	adherent	JHH5_LIVER	JHH-5
JHH7	CVCL_2805	""			96	Williams E Invitrogen catalog # 12551	""	c-446	tumor	Unknown	M	Primary	liver	liver cancer	carcinoma	HSRRB	adherent	JHH7_LIVER	JHH-7|FLC-7
IM95	CVCL_2961	""			96	DMEM ATCC catalog # 3-22	""	c-461	tumor	Unknown	M	Primary	stomach	gastric cancer	adenocarcinoma	HSRRB	adherent	IM95_STOMACH	IM-95
MKN45	CVCL_0434	62			20	RPMI-164 ATCC catalog # 3-21	""	c-355	tumor	Unknown	F	Primary	stomach	gastric cancer	adenocarcinoma	HSRRB	adherent	MKN45_STOMACH	MKN-45|MKN 45
OVTOKO	CVCL_3117	78			72	RPMI-164 ATCC catalog # 3-21	""	c-208	tumor	Asian	F	Metastatic	ovary	ovarian cancer	adenocarcinoma	HSRRB	adherent	OVTOKO_OVARY	""
RMGI	CVCL_1662	""			36	HAMS F12 Invitrogen catalog # 11765-54	""	c-172	tumor	Japanese	F	Primary	ovary	ovarian cancer	carcinoma	HSRRB	adherent	RMGI_OVARY	RMG-I|RMG-1
RMUGS	CVCL_3158	62			48	HAMS F12 Invitrogen catalog # 11765-54	""	c-502	tumor	Unknown	F	Unknown	ovary	ovarian cancer	carcinoma	HSRRB	adherent	RMUGS_OVARY	RMUG-S
TYKNU	CVCL_1776	""			48	EMEM ATCC catalog # 3-23	""	""	tumor	Unknown	F	Primary	ovary	ovarian cancer	carcinoma	HSRRB	adherent	TYKNU_OVARY	TYK-nu
HEC108	CVCL_2923	""			72	EMEM ATCC catalog # 3-23	""	c-437	tumor	Unknown	F	Primary	endometrium	endometrial cancer	adenocarcinoma	HSRRB	adherent	HEC108_ENDOMETRIUM	HEC-108
HEC151	CVCL_2925	""			60	EMEM ATCC catalog # 3-23	""	c-351	tumor	Unknown	F	Primary	endometrium	endometrial cancer	adenocarcinoma	HSRRB	adherent	HEC151_ENDOMETRIUM	HEC-151
HEC251	CVCL_2927	""			72	EMEM ATCC catalog # 3-23	""	c-431	tumor	Unknown	F	Primary	endometrium	endometrial cancer	adenocarcinoma	HSRRB	adherent	HEC251_ENDOMETRIUM	HEC-251
HEC265	CVCL_2928	""			48	EMEM ATCC catalog # 3-23	""	c-297	tumor	Unknown	F	Primary	endometrium	endometrial cancer	adenocarcinoma	HSRRB	adherent	HEC265_ENDOMETRIUM	HEC-265
SNGM	CVCL_1707	""			30	HAMS F12 Invitrogen catalog # 11765-54	""	c-309	tumor	Japanese	F	Primary	endometrium	endometrial cancer	adenocarcinoma	HSRRB	adherent	SNGM_ENDOMETRIUM	SNG-M
SKL	""	""			""	""	CC-2561	""	normal	Unknown	Unknown	Unknown	soft_tissue	normal soft tissue sample	normal soft tissue sample	LONZA	unknown	""	""
T3M10	CVCL_8067	""			60	Hams F-12 (Hyclone Cat.# SH326.1)	""	c-327	tumor	Unknown	M	Metastatic	lung	lung cancer	non small cell lung carcinoma	RIKEN	adherent	T3M10_LUNG	T3M-10
CJM	CVCL_U797	""			48	HAMF1 +1%FBS	""	c-276	tumor	Unknown	Unknown	Metastatic	skin	skin cancer	melanoma	RIKEN	adherent	CJM_SKIN	""
GI1	CVCL_1231	""			48	DMEM (Hyclone Cat.# SH322.2)	""	c-3	tumor	Unknown	M	Primary	central_nervous_system	brain cancer	glioblastoma	RIKEN	adherent	GI1_CENTRAL_NERVOUS_SYSTEM	GI-1
CW2	CVCL_1151	45			48	RPMI-164+ 1% FBS	""	""	tumor	Unknown	F	Unknown	large_intestine	colon cancer	carcinoma	RIKEN	adherent	CW2_LARGE_INTESTINE	CW-2
RCC10RGB	CVCL_1647	""			108	DMEM+ 1%FBS	""	c-526	tumor	Unknown	M	Unknown	kidney	kidney cancer	carcinoma	RIKEN	adherent	RCC10RGB_KIDNEY	10RGB
OVK18	CVCL_3770	""			36	MEM + 1% FBS	""	c-148	tumor	Unknown	F	Unknown	ovary	ovarian cancer	carcinoma	RIKEN	adherent	OVK18_OVARY	OVK-18
JHUEM2	CVCL_4656	""			48	DMEM/F12 (Hyclone Cat.# SH323.1)	""	c-187	tumor	Unknown	F	Primary	endometrium	endometrial cancer	carcinoma	RIKEN	adherent	JHUEM2_ENDOMETRIUM	JHUEM-2
OVCAR8	CVCL_1629	""			60	RPMI-164 ATCC catalog # 3-21	""	c-349	tumor	Unknown	F	Primary	ovary	ovarian cancer	carcinoma	NCI/DCTD	adherent	OVCAR8_OVARY	OVCAR-8|NIH:OVCAR-8
OCILY3	CVCL_8800	""			24	""	""	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	lymphoma	b-cell lymphoma	ACADEMIC LAB	suspension	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY-3|Ly3
