cell_iname	cellosaurus_id	donor_age	donor_age_death	donor_disease_age_onset	doubling_time	growth_medium	provider_catalog_id	feature_id	cell_type	donor_ethnicity	donor_sex	donor_tumor_phase	cell_lineage	primary_disease	subtype	provider_name	growth_pattern	ccle_name	cell_alias
MCLF033SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF035SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF037SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF040SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF051CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF054CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF056CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF076SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF100SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF117SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF123SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF126CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF130CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF135CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF137CN	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF141SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MCLF162SZ	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MICROGLIA-PSEN1	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
MNEU	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
NAMEC8	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal stem cell sample	""	unknown	""	N8
ND34732_7	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
NKDBA	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
P1A82	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
P2X2B2	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	medullary cystic kidney disease (MCKD) type 1	""	unknown	""	""
SKB	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
WA09	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	unknown	unknown	normal stem cell sample	""	unknown	""	""
XC.500	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.L10	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.L100	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P026	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P031	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P033	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P091	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P092	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P901	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P904	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P905	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P906	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P907	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P908	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P909	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P910	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P911	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P912	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P914	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P915	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P922	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P930	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P931	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P932	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P933	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P934	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P935	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.P936	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
XC.R10	""	""			""	""	""	""	pool	Unknown	Unknown	Unknown	unknown	unknown	unknown	""	unknown	""	""
HME1	CVCL_3383	""			25	(MEBM) along with all the additives can be obtained from Lonza/Clonetics Corporation as a kit: MEGM, Kit Catalog No. CC-3150. ATCC does not use the GA-1000 (gentamycin-amphotericin B mix) provided with kit. Note: Do not filter complete medium	CRL-4010	""	tumor	Unknown	Unknown	Unknown	breast	leukemia	acute myelogenous leukemia (aml)	""	adherent	""	""
BJAB	CVCL_5711	""			40-69	80% RPMI 1640 + 20% h.i. FBS	""	""	tumor	Unknown	F	Unknown	haematopoietic_and_lymphoid_tissue	lymphoma	lymphoma	""	suspension	""	BJA-B
HBL1	CVCL_4213	""			48	""	""	""	tumor	Unknown	Unknown	Unknown	haematopoietic_and_lymphoid_tissue	lymphoma	lymphoma	""	unknown	""	""
OCILY10	CVCL_8795	""			""	""	""	""	tumor	Unknown	F	Unknown	placenta	lymphoma	b-cell lymphoma	""	unknown	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Ly10|OCI-LY-10
TMD8	CVCL_A442	62			30	""	""	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	lymphoma	lymphoma	""	suspension	""	TMD-8
TC32	CVCL_7151	""			24	""	""	""	tumor	Unknown	F	Unknown	bone	bone cancer	ewing's sarcoma	""	adherent	TC32_BONE	TC-32
H1299	CVCL_0060	""			30	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001. To make the complete growth medium, add the following components to the base medium: fetal bovine serum (ATCC 30-2020) to a final concentration of 10%.	""	""	tumor	Unknown	Unknown	Unknown	lung	lung cancer	non small cell carcinoma	""	adherent	""	""
H1975	CVCL_1511	""			38.7	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001	""	""	tumor	Unknown	Unknown	Unknown	lung	lung cancer	carcinoma	""	adherent	""	""
HCC515	CVCL_5136	""			""	""	""	""	tumor	Unknown	F	Unknown	lung	lung cancer	carcinoma	""	adherent	HCC515_LUNG	HCC0515
SALE	""	""			""	""	""	""	tumor	Unknown	Unknown	Unknown	lung	lung cancer	lung cancer	""	unknown	SALE_LUNG	""
SHSY5Y	CVCL_0019	""			55	1:1 mixture of ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003, and F12 Medium. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	CRL-2266	""	tumor	Unknown	F	Metastatic	autonomic_ganglia	neuroblastoma	neuroblastoma	""	mix	SHSY5Y_AUTONOMIC_GANGLIA	SH-SY5Y
22RV1	CVCL_1045	""			60	RPMI-164 ATCC catalog # 3-21	""	c-63	tumor	Unknown	M	Unknown	prostate	prostate cancer	carcinoma	""	adherent	22RV1_PROSTATE	22Rv-1|22Rv1
HEC1A	CVCL_0293	71			48	McCoys5A (Hyclone Cat.# SH32.1)	""	c-10	tumor	Unknown	F	Unknown	endometrium	endometrial cancer	adenocarcinoma	""	adherent	HEC1A_ENDOMETRIUM	HEC-1-A
NL20	CVCL_3756	""			24	Ham's F12 medium with 1.5 g/L sodium bicarbonate, 2.7 g/L glucose, 2.0 mM L-glutamine, 0.1 mM nonessential amino acids, 0.005 mg/ml insulin, 10 ng/ml epidermal growth factor, 0.001 mg/ml transferrin, 500 ng/ml hydrocortisone and 4% fetal bovine serum	""	""	normal	Caucasian	F	Unknown	lung	normal lung sample	normal lung sample	""	adherent	""	NL-20
PHH	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	haematopoietic_and_lymphoid_tissue	normal blood sample	normal blood sample	""	unknown	""	HEPATOCYTES
HA1E	""	""			60	MEM-ALPHA (Invitrogen A1049001) supplemented with 10% v/v fetal bovine serum (Sigma F4135) and 1% 100X penicillin-streptomycin-glutamine (Invitrogen 10378-016)	""	""	normal	Unknown	Unknown	Unknown	kidney	normal kidney sample	normal kidney sample	""	unknown	HA1E_KIDNEY	""
HEK293	CVCL_0045	""			24	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	""	""	normal	Unknown	F	Unknown	kidney	normal kidney sample	normal embryonal kidney sample	""	adherent	""	293
HEKTE	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	kidney	normal kidney sample	normal kidney sample	""	unknown	HEKTE_KIDNEY	HEK TE
NEU	""	""			""	""	""	""	normal	Unknown	Unknown	Unknown	central_nervous_system	normal stem cell sample	normal stem cell sample	""	unknown	""	NPC-8330-8 NEURONS
NPC	""	""			28	""	""	""	normal	Unknown	Unknown	Unknown	central_nervous_system	normal stem cell sample	normal stem cell sample	""	unknown	""	NPC-8330-8 NEURAL PROGENITORS
ASC	CVCL_U602	""			""	""	""	""	normal	Unknown	Unknown	Unknown	soft_tissue	normal soft tissue sample	normal soft tissue sample	""	adherent	""	ADIPOCYTES
U266B1	CVCL_0566	53			108-144	RPMI-164 (Hyclone Cat.# SH327.2)	TIB-196	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	myeloma	plasmacytoma	ATCC	suspension	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	266 Bl
HL60	CVCL_0002	36			25	IMDM ATCC catalog #3-25	CCL-240	""	tumor	Unknown	F	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute myelogenous leukemia (aml)	ATCC	suspension	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL-60|HL 60
K562	CVCL_0004	53			18-24	IMDM ATCC catalog #3-25	CCL-243	""	tumor	Unknown	F	Metastatic	haematopoietic_and_lymphoid_tissue	leukemia	chronic myelogenous leukemia (cml)	ATCC	suspension	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K-562|GM05372
TF1	CVCL_0559	35			70	RPMI-164 ATCC catalog # 3-21	CRL-2003	""	tumor	Japanese	M	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute myelogenous leukemia (aml)	ATCC	suspension	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF-1
THP1	CVCL_0006	1			19-50	RPMI-164 ATCC catalog # 3-21	TIB-202	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	leukemia	acute myelogenous leukemia (aml)	ATCC	suspension	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP-1|THP 1
MINO	CVCL_1872	""			72	RPMI-164	""	""	tumor	Caucasian	M	Unknown	haematopoietic_and_lymphoid_tissue	lymphoma	b-cell lymphoma	ATCC	suspension	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mino
U937	CVCL_0007	37			30-40	RPMI-164 ATCC catalog # 3-21	CRL-1593.2	""	tumor	Unknown	M	Unknown	haematopoietic_and_lymphoid_tissue	lymphoma	b-cell lymphoma	ATCC	suspension	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U 937|U-937
A673	CVCL_0080	15			48	DMEM ATCC catalog # 3-22	CRL-1598	c-288	tumor	Unknown	F	Primary	bone	bone cancer	ewing's sarcoma	ATCC	adherent	A673_BONE	A-673
SKES1	CVCL_0627	18			60	McCoy's 5A ATCC catalog # 3-27	HTB-86	c-353	tumor	Caucasian	M	Primary	bone	bone cancer	ewing's sarcoma	ATCC	adherent	SKES1_BONE	SK-ES|SK-ES-1
U2OS	CVCL_0042	15			60	McCoy's 5A ATCC catalog # 3-27	HTB-96	c-62	tumor	Caucasian	F	Primary	bone	bone cancer	osteosarcoma	ATCC	adherent	U2OS_BONE	2T|U-2 OS
A549	CVCL_0023	58			48	F-12K ATCC catalog # 3-24	CCL-185	c-4	tumor	Caucasian	M	Primary	lung	lung cancer	non small cell carcinoma	ATCC	adherent	A549_LUNG	A 549
HCC827	CVCL_2063	39			48	RPMI Invitrogen # 224-71	CRL-2868	c-12	tumor	Caucasian	F	Primary	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	HCC827_LUNG	HCC-827
NCIH1437	CVCL_1472	60			48	RPMI-164 ATCC catalog # 3-21	CRL-5872	c-14	tumor	Caucasian	M	Metastatic	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH1437_LUNG	H-1437|NCI-H1437
NCIH1563	CVCL_1475	""			48	RPMI-164 ATCC catalog # 3-21	CRL-5875	c-186	tumor	Unknown	M	Primary	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH1563_LUNG	H1563|H-1563|NCI-H1563
NCIH1573	CVCL_1478	35			48	RPMI-164 Invitrogen catalog # 11875-93	CRL-5877	c-179	tumor	Caucasian	F	Metastatic	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH1573_LUNG	NCI-H1573|H-1573
NCIH1694	CVCL_1489	61			""	RPMI-164 ATCC catalog # 3-21	CRL-5888	""	tumor	Caucasian	M	Metastatic	lung	lung cancer	small cell lung carcinoma	ATCC	suspension	NCIH1694_LUNG	H-1694|NCI-H1694
NCIH1781	CVCL_1494	66			""	RPMI-164 ATCC catalog # 3-21	CRL-5894	""	tumor	Caucasian	F	Metastatic	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH1781_LUNG	H-1781|NCI-H1781
NCIH1836	CVCL_1498	52			""	DMEM:HAM's F12 1:1 ATCC catalog # 3-26	CRL-5898	""	tumor	Caucasian	M	Primary	lung	lung cancer	small cell lung carcinoma	ATCC	suspension	NCIH1836_LUNG	H-1836|NCI-H1836
NCIH1975	CVCL_1511	""			48	RPMI-164 (Hyclone Cat.# SH327.2)	CRL-5908	c-25	tumor	Unknown	F	Unknown	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH1975_LUNG	NCI-H1975|H-1975
NCIH2073	CVCL_1521	47			96	RPMI-164 (instead of ACL-4 with additives)	CRL-5918	""	tumor	Caucasian	F	Primary	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH2073_LUNG	H-2073|NCI-H2073
NCIH2110	CVCL_1530	""			84	RPMI-164 (Hyclone Cat.# SH327.2)	CRL-5924	c-399	tumor	Unknown	Unknown	Metastatic	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH2110_LUNG	NCI-H2110|H2110|H-2110
NCIH2172	CVCL_1537	""			48	RPMI-164 (Hyclone Cat.# SH327.2)	CRL-5930	c-107	tumor	Unknown	F	Primary	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH2172_LUNG	H-2172|NCI-H2172
NCIH596	CVCL_1571	73			48	RPMI-164 (Hyclone Cat.# SH327.2)	HTB-178	c-123	tumor	Caucasian	M	Primary	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH596_LUNG	NCI-H596|H-596
NCIH838	CVCL_1594	59			48	RPMI-164 (Hyclone Cat.# SH327.2)	CRL-5844	c-295	tumor	Caucasian	M	Metastatic	lung	lung cancer	non small cell lung carcinoma	ATCC	adherent	NCIH838_LUNG	H-838|NCI-H838
NCIH841	CVCL_1595	51			96	DMEM/F12 (Hyclone Cat.# SH323.1)	CRL-5845	c-477	tumor	Caucasian	M	Metastatic	lung	lung cancer	small cell lung carcinoma	ATCC	mix	NCIH841_LUNG	NCI-H841|H-841
SKLU1	CVCL_0629	60			48	MEM (Invitrogen catalogue #12571-63)	HTB-57	c-195	tumor	Caucasian	F	Unknown	lung	lung cancer	adenocarcinoma	ATCC	adherent	SKLU1_LUNG	SK-LU-1|SK LU 1
A375	CVCL_0132	54			36	DMEM Invitrogen catalog # 11995-65	CRL-1619	c-127	tumor	Unknown	F	Metastatic	skin	skin cancer	melanoma	ATCC	adherent	A375_SKIN	A 375|A-375
SH4	CVCL_1692	60			60	DMEM	CRL-7724	c-65	tumor	Caucasian	F	Metastatic	skin	skin cancer	melanoma	ATCC	adherent	SH4_SKIN	SH-4
SKMEL1	CVCL_0068	29			35.1	EMEM ATCC catalog # 3-23	HTB-67	""	tumor	Caucasian	M	Metastatic	skin	skin cancer	melanoma	ATCC	suspension	SKMEL1_SKIN	SK-MEL-1|SK 1
SKMEL28	CVCL_0526	51			>120	EMEM ATCC catalog # 3-23	HTB-72	""	tumor	Unknown	M	Unknown	skin	skin cancer	melanoma	ATCC	adherent	SKMEL28_SKIN	SK-MEL-28|AU-Mel
SKMEL3	CVCL_0550	42			108	McCoy's 5A Invitrogen catalog # 166-82	HTB-69	c-534	tumor	Caucasian	F	Metastatic	skin	skin cancer	melanoma	ATCC	adherent	SKMEL3_SKIN	Sk-mel-3
SKMEL5	CVCL_0527	24			108	RPMI-164 Invitrogen catalog # 11875-93	HTB-70	c-473	tumor	Caucasian	F	Primary	skin	skin cancer	melanoma	ATCC	adherent	SKMEL5_SKIN	SK-MEL-5|AA-Mel
LN229	CVCL_0393	60			48	DMEM ATCC catalog # 3-22	CRL-2611	c-287	tumor	Caucasian	F	Primary	central_nervous_system	brain cancer	astrocytoma	ATCC	adherent	LN229_CENTRAL_NERVOUS_SYSTEM	LN-229|LN 229
DLD1	CVCL_0248	""			33	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001. To make the complete growth medium, add the following components to the base medium: fetal bovine serum (ATCC 30-2020) to a final concentration of 10%.	CCL-221	""	tumor	Unknown	M	Unknown	large_intestine	colon cancer	adenocarcinoma	ATCC	adherent	DLD1_LARGE_INTESTINE	DLD 1|DLD-1
HCT116	CVCL_0291	""			24	McCoy's 5A Invitrogen catalog # 166-82	CCL-247	c-269	tumor	Unknown	M	Primary	large_intestine	colon cancer	carcinoma	ATCC	adherent	HCT116_LARGE_INTESTINE	HCT-116
