name,train_oof_path,te_path,train_oof_rae,te_unblind_rae,tr_std,te_std
oof_nb250_hbond_corr,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb250_hbond_corr.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb250_hbond_corr.npy,0.2837166288717129,0.7449341467024203,1.0038299502833108,0.5318486513291353
oof_nb269_routed,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb269_routed.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb269_routed.npy,0.2838455037055464,0.7454121573359932,1.0032126470382856,0.5313191011538219
oof_nb314_slsqp5,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb314_slsqp5.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb314_slsqp5.npy,0.28384598346897283,0.7454122186405656,1.003212442175473,0.5313193155933155
oof_nb295_rag,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb295_rag.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb295_rag.npy,0.28384598346897294,0.7287049696924366,1.0032124421754722,0.47507278241717954
oof_nb239_full_slsqp,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb239_full_slsqp.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb239_full_slsqp.npy,0.28384598346897294,0.7454122186405661,1.0032124421754722,0.531319315593315
oof_nb391_tars,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb391_tars.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb391_tars.npy,0.28384598625666324,0.7454122012770712,1.0032124519348145,0.5313193202018738
oof_nb268_gated,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb268_gated.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb268_gated.npy,0.2840696918695223,0.7404699518858343,1.0032640563763755,0.5324180652429048
oof_nb297_pysr,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb297_pysr.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb297_pysr.npy,0.2841226050351795,0.7456860576850324,1.00304014072064,0.5313193155933151
oof_grand_v8,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_grand_v8.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_grand_v8.npy,0.28425087488720047,0.8116742353591739,1.025769474011707,0.5137034547615585
oof_nb248_personalized,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb248_personalized.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb248_personalized.npy,0.28580078487852395,0.7515326464535487,0.9978104849871897,0.5297161749451849
