cycle,rae,best_so_far,wins_to_date,is_win,at_or_below_floor,at_or_below_loose,wall_sec
0,0.4834785714975239,0.4834785714975239,1,True,False,False,1.8582003116607666
1,0.48509216826613116,0.4834785714975239,1,False,False,False,1.7687349319458008
2,0.47714406232753803,0.47714406232753803,2,True,False,False,1.396460771560669
3,0.4831951199361574,0.47714406232753803,2,False,False,False,1.5467958450317383
4,0.4839174391848678,0.47714406232753803,2,False,False,False,1.3444814682006836
5,0.4869174454883417,0.47714406232753803,2,False,False,False,2.0308473110198975
6,0.47069757941032,0.47069757941032,3,True,False,True,1.6672863960266113
7,0.46598661658360313,0.46598661658360313,4,True,True,True,1.3568367958068848
8,0.49420725907088836,0.46598661658360313,4,False,False,False,1.409440040588379
9,0.4747066324203591,0.46598661658360313,4,False,False,False,1.3502352237701416
10,0.4781533589588023,0.46598661658360313,4,False,False,False,0.985992431640625
11,0.4874701154950216,0.46598661658360313,4,False,False,False,1.2890312671661377
12,0.48312434937616733,0.46598661658360313,4,False,False,False,1.599144697189331
13,0.4886259825645064,0.46598661658360313,4,False,False,False,2.222156286239624
14,0.4811635677762077,0.46598661658360313,4,False,False,False,1.978888750076294
15,0.49068768116989825,0.46598661658360313,4,False,False,False,1.4531419277191162
16,0.47016884118661634,0.46598661658360313,4,False,False,True,1.8959152698516846
17,0.47717337589562997,0.46598661658360313,4,False,False,False,1.29475736618042
18,0.49039446070849535,0.46598661658360313,4,False,False,False,1.636152982711792
19,0.48379327643954473,0.46598661658360313,4,False,False,False,1.246351957321167
20,0.48346372674854454,0.46598661658360313,4,False,False,False,1.3237295150756836
21,0.4929968814102813,0.46598661658360313,4,False,False,False,2.084702968597412
22,0.4794312188956712,0.46598661658360313,4,False,False,False,1.0404393672943115
23,0.487822209158241,0.46598661658360313,4,False,False,False,0.945349931716919
24,0.4843753439342756,0.46598661658360313,4,False,False,False,2.038635492324829
25,0.48489516348357814,0.46598661658360313,4,False,False,False,1.355266809463501
26,0.4822706346256867,0.46598661658360313,4,False,False,False,0.9381215572357178
27,0.48322640851260124,0.46598661658360313,4,False,False,False,1.6397907733917236
28,0.47560610438143053,0.46598661658360313,4,False,False,False,1.056938886642456
29,0.48869993303733505,0.46598661658360313,4,False,False,False,2.38673996925354
30,0.4821460111258217,0.46598661658360313,4,False,False,False,1.1705634593963623
31,0.4809669381154227,0.46598661658360313,4,False,False,False,1.1335585117340088
32,0.4832398217653545,0.46598661658360313,4,False,False,False,1.3672237396240234
33,0.4862822655559028,0.46598661658360313,4,False,False,False,1.4954800605773926
34,0.4863133842249906,0.46598661658360313,4,False,False,False,1.0435855388641357
35,0.48570194680642853,0.46598661658360313,4,False,False,False,1.1370456218719482
36,0.47837487201313783,0.46598661658360313,4,False,False,False,1.4182791709899902
37,0.47549230945667176,0.46598661658360313,4,False,False,False,1.0778141021728516
38,0.4844824230856682,0.46598661658360313,4,False,False,False,1.394012212753296
39,0.49178839001558206,0.46598661658360313,4,False,False,False,1.4082109928131104
40,0.48346557986263156,0.46598661658360313,4,False,False,False,1.4034709930419922
41,0.4847005617203115,0.46598661658360313,4,False,False,False,2.3375802040100098
42,0.490500624367144,0.46598661658360313,4,False,False,False,2.1269819736480713
43,0.4794163994745305,0.46598661658360313,4,False,False,False,1.3028149604797363
44,0.47529551559126726,0.46598661658360313,4,False,False,False,1.6229937076568604
