name,nb,anchor,contaminated_anchor,claimed_random_RAE,scaffold_CV_RAE,delta,new_rank,per_fold_rae_str
nb2165_lgbm_mean_bag_oof,2165,chemprop_aux,False,0.479844,0.480742,0.000897,,0.4781;0.4465;0.5199;0.5090;0.4502
nb2121_mean_bag_oof_lam5,2121,chemprop_aux,False,0.480086,0.480841,0.000754,,0.4691;0.4469;0.5179;0.5192;0.4512
nb2103_mean_bag_oof_K33,2103,chemprop_aux,False,0.480443,0.480895,0.000451,,0.4827;0.4328;0.5083;0.5095;0.4716
nb2166_mean_bag_oof_ss090,2166,chemprop_aux,False,0.48007,0.481472,0.001402,,0.4822;0.4471;0.5204;0.5155;0.4420
nb2103_mean_bag_oof_K34,2103,chemprop_aux,False,0.481073,0.481577,0.000503,,0.4903;0.4257;0.5116;0.5066;0.4740
nb2103_mean_bag_oof_K26,2103,chemprop_aux,False,0.480126,0.481612,0.001486,,0.4838;0.4385;0.5237;0.5206;0.4414
nb2103_mean_bag_oof_K27,2103,chemprop_aux,False,0.480993,0.482581,0.001587,,0.4953;0.4421;0.5156;0.5111;0.4487
nb2166_mean_bag_oof_ss070,2166,chemprop_aux,False,0.484294,0.485586,0.001292,,0.4738;0.4606;0.5397;0.5210;0.4325
nb2103_mean_bag_oof_K32,2103,chemprop_aux,False,0.484816,0.486119,0.001303,,0.4902;0.4401;0.5108;0.5283;0.4616
nb2081_mean_bag_oof_K40,2081,chemprop_aux,False,0.48541,0.486255,0.000845,,0.4848;0.4374;0.5187;0.5256;0.4651
nb2202_mean_bag_oof_K40,2202,chemprop_aux,False,0.48541,0.486255,0.000845,,0.4848;0.4374;0.5187;0.5256;0.4651
nb2166_mean_bag_oof_ss080,2166,chemprop_aux,False,0.484661,0.486296,0.001635,,0.4833;0.4513;0.5304;0.5284;0.4380
nb2189_mean_bag_oof_K40,2189,?,True,0.482143,0.486529,0.004386,,0.4811;0.4469;0.4473;0.6256;0.4335
nb2103_mean_bag_oof_K31,2103,chemprop_aux,False,0.485591,0.48655,0.000959,,0.4881;0.4397;0.5155;0.5241;0.4657
nb2174_mean_bag_oof_c1_0,2174,chemprop_aux,False,0.489167,0.490349,0.001182,,0.4934;0.4728;0.5061;0.5136;0.4658
nb2165_xgb_mean_bag_oof,2165,chemprop_aux,False,0.489853,0.490359,0.000506,,0.4771;0.4461;0.5263;0.5340;0.4687
nb2151_mean_bag_oof_mc10,2151,chemprop_aux,False,0.490713,0.493246,0.002532,,0.4981;0.4479;0.5293;0.5539;0.4370
nb2091_mean_bag_oof_K20,2091,chemprop_aux,False,0.490322,0.493374,0.003051,,0.5313;0.4216;0.5356;0.5370;0.4412
nb2202_mean_bag_oof_K20,2202,chemprop_aux,False,0.490322,0.493374,0.003051,,0.5313;0.4216;0.5356;0.5370;0.4412
nb2091_mean_bag_oof_K15,2091,chemprop_aux,False,0.495856,0.498961,0.003106,,0.5492;0.4172;0.5360;0.5366;0.4557
nb2202_mean_bag_oof_K15,2202,chemprop_aux,False,0.495856,0.498961,0.003106,,0.5492;0.4172;0.5360;0.5366;0.4557
nb2081_mean_bag_oof_K60,2081,chemprop_aux,False,0.497292,0.499042,0.001751,,0.5040;0.4689;0.5256;0.5361;0.4605
nb2160_mean_bag_oof_drop005,2160,chemprop_aux,False,0.497638,0.499759,0.002121,,0.5237;0.4740;0.5150;0.5200;0.4658
nb2081_mean_bag_oof_K75,2081,chemprop_aux,False,0.49881,0.500197,0.001387,,0.4951;0.4730;0.5287;0.5406;0.4636
nb2158_mean_bag_oof_K28_monotone,2158,chemprop_aux,False,0.498846,0.501511,0.002665,,0.5102;0.4990;0.5322;0.5294;0.4360
nb2160_mean_bag_oof_drop010,2160,chemprop_aux,False,0.500631,0.502837,0.002206,,0.5326;0.4780;0.5105;0.5193;0.4736
nb2091_mean_bag_oof_K10,2091,chemprop_aux,False,0.502126,0.504979,0.002853,,0.5520;0.4475;0.5123;0.5358;0.4773
nb2160_mean_bag_oof_drop020,2160,chemprop_aux,False,0.508953,0.511144,0.002191,,0.5396;0.4920;0.5139;0.5267;0.4832
nb2141_mean_bag_oof,2141,chemprop_aux,False,0.511999,0.514255,0.002257,,0.5271;0.4653;0.5529;0.5601;0.4659
nb2174_mean_bag_oof_c0_5,2174,chemprop_aux,False,0.514736,0.516417,0.001681,,0.5321;0.5037;0.5200;0.5338;0.4923
nb2172_top1_plus_top3_mean_bag_oof,2172,chemprop_aux,False,0.525544,0.527207,0.001663,,0.4935;0.4606;0.5513;0.6436;0.4885
nb2172_AtomPair_mean_bag_oof,2172,chemprop_aux,False,0.533622,0.536268,0.002647,,0.5743;0.5608;0.5642;0.5045;0.4758
nb2172_top1_plus_top2_mean_bag_oof,2172,chemprop_aux,False,0.534965,0.536586,0.001621,,0.5410;0.5206;0.6254;0.5351;0.4593
nb2191_mlp_mean_bag_oof,2191,chemprop_aux,False,0.543984,0.54811,0.004126,,0.5759;0.5459;0.4889;0.6164;0.5141
nb2172_Mordred_mean_bag_oof,2172,chemprop_aux,False,0.551604,0.553061,0.001457,,0.5491;0.5192;0.6505;0.5694;0.4758
nb2172_ChempropEmbed_mean_bag_oof,2172,chemprop_aux,False,0.559942,0.562886,0.002945,,0.5304;0.5138;0.5627;0.7001;0.5091
nb2172_Avalon_mean_bag_oof,2172,chemprop_aux,False,0.579315,0.579236,-7.9e-05,,0.5794;0.5398;0.5662;0.6089;0.6029
nb2172_MACCS_mean_bag_oof,2172,chemprop_aux,False,0.609064,0.610838,0.001774,,0.6162;0.6232;0.5169;0.6651;0.6343
nb2172_ChEMBL_kNN_mean_bag_oof,2172,chemprop_aux,False,0.688955,0.692829,0.003873,,0.6801;0.7444;0.7093;0.7381;0.5912
