file,nb_num,in_RAE,n_test
te_nb125_ridge,125.0,0.7339665900640079,513
te_nb251_smarts,251.0,0.7342871755815014,513
te_nb148_pxr_network,148.0,0.7343437490671652,513
te_nb163_lgbm_colsample,163.0,0.7343727199362977,513
te_nb315_v2_nb145_enh,315.0,0.7344159703779576,513
te_nb115_extreme_weighted,115.0,0.7346748528708775,513
te_nb145_level3_meta,145.0,0.7356692895353134,513
te_nb124_scaffold_specific,124.0,0.7363830502105629,513
te_nb128_rf_et_aug,128.0,0.7376415754873744,513
te_nb281_relabeled,281.0,0.7377742162149558,513
te_nb144_grand_v10,144.0,0.7379356684160663,513
te_nb319_strict_ood,319.0,0.7382227020558056,513
te_nb147_oofrdkit_meta,147.0,0.7386897504095852,513
te_nb123_fair_1.0,123.0,0.7390725261985823,513
te_nb118_et,118.0,0.7393264591085369,513
te_lgbm_tuned,,0.7393577731093236,513
te_nb312_relabeled,312.0,0.7395494254560134,513
te_nb146_chembl_analogy,146.0,0.7400173682720341,513
te_nb116_quantile_q50,116.0,0.7404252383345625,513
te_nb143_oofassay_meta,143.0,0.7404641149727479,513
te_nb268_gated,268.0,0.7404699518858342,513
te_nb177_bootstrap,177.0,0.7407184623919,513
te_nb288_gp_corrected,288.0,0.7409898506941832,513
te_nb148_meta_disagreement,148.0,0.7418351649035628,513
te_nb302_full_pool,302.0,0.7422746054881567,513
te_nb317_anchored,317.0,0.7422747573667317,513
te_nb304_cel,304.0,0.7423068173433498,513
te_nb265_5cls,265.0,0.7427592165425242,513
te_nb117_knn_residual,117.0,0.742958711288211,513
te_nb109_deep_meta_stack,109.0,0.742958711288211,513
te_nb144_full_papyrus,144.0,0.743579856200664,513
te_nb122_nonlinear_meta,122.0,0.7437111972353837,513
te_nb179_fresh,179.0,0.7437679897822748,513
te_nb107_assay_decomp,107.0,0.7439500623432751,513
te_nb123_mse_reference,123.0,0.7439849947155796,513
te_nb151_3d_quantum,151.0,0.7440169188834697,513
te_nb123_lad_l1,123.0,0.7440479936850641,513
te_nb109_deep_meta_stack_calib,109.0,0.7441261672821375,513
te_nb292_molrule,292.0,0.7442950849289286,513
te_nb107_assay_decomp_calib,107.0,0.7447127733212566,513
te_nb121_test_sim_weighted,121.0,0.7448248151265504,513
te_nb250_hbond_corr,250.0,0.7449341467024203,513
te_nb133_interactions,133.0,0.7452927411946758,513
te_nb269_routed,269.0,0.7454121573359932,513
te_nb314_slsqp5,314.0,0.7454122186405655,513
te_nb239_full_slsqp,239.0,0.745412218640566,513
te_nb128_rf_aug,128.0,0.7454186224300159,513
te_nb297_pysr,297.0,0.7456860576850324,513
te_nb272_D_pxr_papyrus_nr_pubchem,272.0,0.7459577010422752,513
te_nb179_stack,179.0,0.7460093119867877,513
te_nb120_huber_1_0,120.0,0.7460841977755746,513
te_nb217_pxr_modes,217.0,0.7468884821936711,513
te_nb153_grand_v12,153.0,0.7471114731571127,513
te_nb151_grand_v11,151.0,0.7474209411017005,513
te_nb223_pool_plus_nb219,223.0,0.7474848023716283,513
te_nb272_B_pxr_papyrus,272.0,0.7475759735089913,513
te_nb166_catboost_v2,166.0,0.7478602924069427,513
te_nb219_aug_30pct,219.0,0.7479729564067098,513
te_nb284_multimetric_biomech,284.0,0.7480563691963682,513
te_nb175_stack_nb224_eng,175.0,0.7484859413794109,513
te_nb125_enet,125.0,0.7484923434502876,513
te_nb176_stack_nb224,176.0,0.7485635123392238,513
te_nb123_huber_1.0,123.0,0.7490401247935101,513
te_nb299_nrclip,299.0,0.74984210543215,513
te_nb120_huber_2_0,120.0,0.7501893781890057,513
te_nb971_rdkit_only,971.0,0.7504,513
te_nb169_rf_et_mae,169.0,0.7507069563243404,513
te_nb126_classifier_conditioned,126.0,0.7507385810126035,513
te_nb224_pool_plus_2,224.0,0.7509481358150754,513
te_nb149_meta_maeloss,149.0,0.7511871696654289,513
te_nb156_catboost_mae,156.0,0.7512641989810885,513
te_nb120_huber_0_5,120.0,0.7513164187634646,513
te_nb248_personalized,248.0,0.7515326464535486,513
te_nb242_huber,242.0,0.7518803273873399,513
te_nb127_exhaustive_blend,127.0,0.7525520825815862,513
te_nb145_lgb_stack,145.0,0.7528803557939121,513
te_nb145_xgb_stack,145.0,0.7537725153868888,513
te_nb110_scaffold_prior,110.0,0.7543111489948772,513
te_nb172_bootstrap_ensemble,172.0,0.7544989466324706,513
te_nb155_grand_v13,155.0,0.75450488162029,513
te_nb171_catboost_extended,171.0,0.754690098647674,513
te_nb273_combined,273.0,0.7549100624782225,513
te_nb165_multiseed_162c,165.0,0.7550992078308211,513
te_nb272_A_full_pxr,272.0,0.7554640267196213,513
te_nb168_multiseed_catboost,168.0,0.7560664246126149,513
te_nb164_grand_v14,164.0,0.7573443524295521,513
te_grover_lgbm,,0.7574138190533889,513
te_nb149_dis_aug,149.0,0.7586220617970317,513
te_nb125_2way,125.0,0.7600257682966298,513
te_nb293_conformal,293.0,0.7601500182850243,513
te_nb173_softmax_sweep,173.0,0.7605921950017624,513
te_nb243_greedy,243.0,0.7611061839212089,513
te_nb180_nonlinear_6model,180.0,0.7619532839904573,513
te_nb270_per_compound,270.0,0.7620671591004397,513
te_nb242_nonlin_stack,242.0,0.762817844719159,513
te_nb181_quantile_poly,181.0,0.7629895773487121,513
te_nb175_bayes_blend,175.0,0.7630985513363744,513
te_nb244_deep_greedy,244.0,0.7631447643287708,513
te_nb170_grand_v15,170.0,0.7631819893280001,513
te_nb176_optuna_weights,176.0,0.7632820648401613,513
te_nb184_grand_v16,184.0,0.7634200428463956,513
te_nb183_qreg_poly10,183.0,0.7642858441744638,513
te_nb111_selectivity_primary,111.0,0.7651610584826661,513
te_nb118_rf_et_blend,118.0,0.7653640758721549,513
te_nb152_lgbm_mae_tuned,152.0,0.7657047752050573,513
te_nb174_top10_lgbm,174.0,0.7657382119269754,513
te_nb125_lgbm_meta,125.0,0.766051458104229,513
te_nb120_mape,120.0,0.7662667490108357,513
te_singleconc,,0.7664957316359399,513
te_199_nb197_nb123_w05,,0.7669942170578254,513
te_grover,,0.7705724558384172,513
te_grover_large,,0.7706340535050282,513
te_oof_consensus_delta_ml,,0.7711679510363595,513
te_nb157_optuna_lgbm_mae,157.0,0.7711743593302295,513
te_nb272_C_pxr_papyrus_other_nr,272.0,0.7716905082622546,513
te_nb204_multiseed_fast_baseline,204.0,0.771853638669194,513
te_nb196_fine_div15,196.0,0.7721245028572303,513
te_nb188_diverse_refine,188.0,0.7721584444782947,513
te_nb197_dense_grid,197.0,0.7724036392680231,513
te_nb214_div15_nb212_blend,214.0,0.7729642618342095,513
te_nb162_mixed_pool,162.0,0.7730338725244411,513
te_nb212_nb211_blend,212.0,0.7730474874032964,513
te_nb219_diversity_blend,219.0,0.7730601662821058,513
