s,in_rae_253,te_mean,te_std
1.0,0.6105185331708554,4.821135152385481,0.5715220147155039
1.1,0.5963990442188843,4.821135152385482,0.6286742161870544
1.2,0.5887918629097069,4.821135152385481,0.6858264176586047
1.3,0.5893085880671213,4.821135152385481,0.7429786191301551
1.4,0.5990359079679206,4.821135152385481,0.8001308206017055
1.5,0.615843234600251,4.821135152385481,0.857283022073256
1.6,0.636997850936957,4.821135152385481,0.9144352235448063
1.7,0.6609332342974682,4.821135152385481,0.9715874250163566
1.8,0.6879745774165116,4.821135152385481,1.0287396264879072
2.0,0.7460118427314055,4.821135152385481,1.1430440294310078
