cycle,rae,best_so_far,wins_to_date,is_win,at_or_below_floor,at_or_below_loose,wall_sec
0,0.493643781023004,0.493643781023004,1,True,False,False,1.3829154968261719
1,0.4698153762747742,0.4698153762747742,2,True,True,True,1.3261642456054688
2,0.4766232424521994,0.4698153762747742,2,False,False,False,1.4190192222595215
3,0.4820467288196023,0.4698153762747742,2,False,False,False,1.2645792961120605
4,0.4967960573272073,0.4698153762747742,2,False,False,False,2.2178635597229004
5,0.48052472805891266,0.4698153762747742,2,False,False,False,1.2150051593780518
6,0.49459368580493973,0.4698153762747742,2,False,False,False,0.9657654762268066
7,0.47714420155523024,0.4698153762747742,2,False,False,False,2.1366798877716064
8,0.49233370173911495,0.4698153762747742,2,False,False,False,1.715561866760254
9,0.4778544956345296,0.4698153762747742,2,False,False,False,2.4700965881347656
10,0.4825109637825462,0.4698153762747742,2,False,False,False,1.3844239711761475
11,0.47531882800054254,0.4698153762747742,2,False,False,False,0.9938111305236816
12,0.49378972358428297,0.4698153762747742,2,False,False,False,1.0343422889709473
13,0.48753431430251415,0.4698153762747742,2,False,False,False,1.97393798828125
14,0.49200399962155733,0.4698153762747742,2,False,False,False,1.9004902839660645
15,0.47768848175461065,0.4698153762747742,2,False,False,False,1.0419485569000244
16,0.4759156151516738,0.4698153762747742,2,False,False,False,0.9802730083465576
17,0.47621790310370166,0.4698153762747742,2,False,False,False,1.083686113357544
18,0.48191259982857887,0.4698153762747742,2,False,False,False,1.7391629219055176
19,0.488592079443173,0.4698153762747742,2,False,False,False,1.595163345336914
20,0.47931910312688897,0.4698153762747742,2,False,False,False,1.3597726821899414
21,0.48521459707300924,0.4698153762747742,2,False,False,False,2.0679831504821777
22,0.49062488614680794,0.4698153762747742,2,False,False,False,2.4700615406036377
23,0.4746796597723865,0.4698153762747742,2,False,False,False,2.4050447940826416
24,0.4827166560223118,0.4698153762747742,2,False,False,False,1.0997204780578613
25,0.4816560686955503,0.4698153762747742,2,False,False,False,2.353564739227295
26,0.4882838651797605,0.4698153762747742,2,False,False,False,2.1029961109161377
27,0.48382183416425195,0.4698153762747742,2,False,False,False,1.679530143737793
28,0.49213114834427213,0.4698153762747742,2,False,False,False,1.6163372993469238
29,0.48630091544876713,0.4698153762747742,2,False,False,False,2.406970739364624
30,0.4832487679985791,0.4698153762747742,2,False,False,False,1.820122480392456
31,0.47337048737088716,0.4698153762747742,2,False,False,False,1.7454869747161865
32,0.4791510194051971,0.4698153762747742,2,False,False,False,1.0462069511413574
33,0.48145113893920954,0.4698153762747742,2,False,False,False,0.9839150905609131
34,0.4800570618681318,0.4698153762747742,2,False,False,False,1.3644437789916992
35,0.4722622407679518,0.4698153762747742,2,False,False,True,1.5862605571746826
36,0.4857003885933698,0.4698153762747742,2,False,False,False,1.461010456085205
37,0.4891397904755262,0.4698153762747742,2,False,False,False,1.4124765396118164
38,0.4831654745331129,0.4698153762747742,2,False,False,False,0.8849606513977051
39,0.47851727874226174,0.4698153762747742,2,False,False,False,1.6276121139526367
40,0.48619849909316165,0.4698153762747742,2,False,False,False,1.2674589157104492
41,0.48527879282484754,0.4698153762747742,2,False,False,False,2.215843677520752
42,0.4939534811897749,0.4698153762747742,2,False,False,False,1.5816988945007324
43,0.48290727461306876,0.4698153762747742,2,False,False,False,1.7491142749786377
44,0.48180332502735296,0.4698153762747742,2,False,False,False,1.2233188152313232
45,0.4707715690288819,0.4698153762747742,2,False,False,True,1.0458290576934814
46,0.47857734182417144,0.4698153762747742,2,False,False,False,1.5762758255004883
47,0.4869454100982664,0.4698153762747742,2,False,False,False,1.451819896697998
48,0.485754329921964,0.4698153762747742,2,False,False,False,2.2998082637786865
49,0.48794204498546956,0.4698153762747742,2,False,False,False,0.9011094570159912
50,0.47496457052429275,0.4698153762747742,2,False,False,False,2.1559596061706543
51,0.4870106640826713,0.4698153762747742,2,False,False,False,1.2832846641540527
52,0.47802582888510364,0.4698153762747742,2,False,False,False,1.327692985534668
53,0.4833804944759179,0.4698153762747742,2,False,False,False,1.5169990062713623
54,0.49032692108836123,0.4698153762747742,2,False,False,False,2.1781251430511475
55,0.48094304102335866,0.4698153762747742,2,False,False,False,1.8563098907470703
56,0.47061242328883834,0.4698153762747742,2,False,False,True,1.226689100265503
57,0.4822947278751137,0.4698153762747742,2,False,False,False,1.5353357791900635
58,0.49415130158488746,0.4698153762747742,2,False,False,False,2.081669807434082
59,0.48912746776630794,0.4698153762747742,2,False,False,False,1.8683855533599854
60,0.4901610257091769,0.4698153762747742,2,False,False,False,1.6526520252227783
61,0.47595874589096376,0.4698153762747742,2,False,False,False,1.1227636337280273
62,0.4825955840477615,0.4698153762747742,2,False,False,False,1.2121527194976807
63,0.48618951716712644,0.4698153762747742,2,False,False,False,1.7792670726776123
64,0.48351134457876555,0.4698153762747742,2,False,False,False,1.1108293533325195
65,0.4912177309763243,0.4698153762747742,2,False,False,False,2.079049825668335
66,0.4756530200738611,0.4698153762747742,2,False,False,False,1.1219751834869385
67,0.4666769847316972,0.4666769847316972,3,True,True,True,1.6999526023864746
68,0.49455969559228835,0.4666769847316972,3,False,False,False,1.7932281494140625
69,0.48978559463281945,0.4666769847316972,3,False,False,False,0.9423022270202637
70,0.4839819237932127,0.4666769847316972,3,False,False,False,1.6541314125061035
71,0.49365246281979236,0.4666769847316972,3,False,False,False,1.9479565620422363
72,0.46549573382088544,0.46549573382088544,4,True,True,True,1.0360212326049805
73,0.48641478583689224,0.46549573382088544,4,False,False,False,0.9408082962036133
74,0.4845583136132379,0.46549573382088544,4,False,False,False,1.1343894004821777
75,0.4799290043786795,0.46549573382088544,4,False,False,False,1.73703932762146
76,0.47903825970760405,0.46549573382088544,4,False,False,False,1.341266393661499
77,0.4749073916474715,0.46549573382088544,4,False,False,False,1.1189005374908447
78,0.4818655152842646,0.46549573382088544,4,False,False,False,2.231999158859253
79,0.4781502028753441,0.46549573382088544,4,False,False,False,1.3849616050720215
80,0.47358952909871765,0.46549573382088544,4,False,False,False,1.4405558109283447
81,0.4834012319026882,0.46549573382088544,4,False,False,False,2.1568689346313477
82,0.49029123892318077,0.46549573382088544,4,False,False,False,2.150994300842285
83,0.4893377916078381,0.46549573382088544,4,False,False,False,1.4355757236480713
84,0.4795425033551273,0.46549573382088544,4,False,False,False,1.8039138317108154
85,0.47998866666414775,0.46549573382088544,4,False,False,False,1.7526400089263916
86,0.48300079522087935,0.46549573382088544,4,False,False,False,1.728407382965088
87,0.47811010591874814,0.46549573382088544,4,False,False,False,2.3259384632110596
88,0.48373748490806323,0.46549573382088544,4,False,False,False,1.939894437789917
89,0.48595169886942674,0.46549573382088544,4,False,False,False,1.9801959991455078
90,0.47635546643892934,0.46549573382088544,4,False,False,False,0.9589686393737793
91,0.48958084831091564,0.46549573382088544,4,False,False,False,1.209700584411621
92,0.48240556678033325,0.46549573382088544,4,False,False,False,1.1051371097564697
93,0.48638075018821436,0.46549573382088544,4,False,False,False,2.3982980251312256
94,0.4833567397788235,0.46549573382088544,4,False,False,False,1.9936926364898682
95,0.4884845212147835,0.46549573382088544,4,False,False,False,1.6677274703979492
96,0.47661464020152583,0.46549573382088544,4,False,False,False,1.6682045459747314
97,0.4822462930755302,0.46549573382088544,4,False,False,False,1.8829751014709473
98,0.4834996349006625,0.46549573382088544,4,False,False,False,2.3034539222717285
99,0.4823448304492069,0.46549573382088544,4,False,False,False,1.876328706741333
100,0.4791971485426325,0.46549573382088544,4,False,False,False,1.2521944046020508
101,0.49393526005240795,0.46549573382088544,4,False,False,False,1.6650681495666504
102,0.48233480605183215,0.46549573382088544,4,False,False,False,1.2044639587402344
103,0.48580249685561394,0.46549573382088544,4,False,False,False,1.0209908485412598
104,0.475296645037146,0.46549573382088544,4,False,False,False,1.9075291156768799
105,0.4834234951366891,0.46549573382088544,4,False,False,False,1.4318742752075195
106,0.4833878846171561,0.46549573382088544,4,False,False,False,1.0922279357910156
107,0.4790731737164529,0.46549573382088544,4,False,False,False,1.3794798851013184
108,0.48260550566039556,0.46549573382088544,4,False,False,False,1.8289852142333984
109,0.4931099552724658,0.46549573382088544,4,False,False,False,1.59114670753479
110,0.47946184639658235,0.46549573382088544,4,False,False,False,1.5302178859710693
111,0.47869212249800197,0.46549573382088544,4,False,False,False,1.5107150077819824
112,0.4825693152232165,0.46549573382088544,4,False,False,False,1.3839750289916992
113,0.49056759860824645,0.46549573382088544,4,False,False,False,1.6394178867340088
114,0.48946936622432835,0.46549573382088544,4,False,False,False,0.9807875156402588
115,0.49922953020782834,0.46549573382088544,4,False,False,False,1.4962553977966309
116,0.480087612070894,0.46549573382088544,4,False,False,False,1.85270094871521
117,0.4819666684517562,0.46549573382088544,4,False,False,False,1.6605167388916016
118,0.4835062384998548,0.46549573382088544,4,False,False,False,1.4694805145263672
