a,b,in_rae_253,te_mean,te_std
0.7,-0.5,2.3019222261095136,2.8818917243018958,0.40825195831756644
0.7,-0.25,2.0241832001791398,3.1318917243018958,0.40825195831756644
0.7,0.0,1.7527116441007107,3.3818917243018958,0.40825195831756644
0.7,0.25,1.4966846394681685,3.6318917243018958,0.40825195831756644
0.7,0.5,1.249189804404057,3.8818917243018958,0.4082519583175665
0.8,-0.5,1.7631643592923787,3.3650191134878806,0.4665736666486474
0.8,-0.25,1.5011302245650056,3.6150191134878806,0.4665736666486474
0.8,0.0,1.2512950598445918,3.8650191134878806,0.4665736666486474
0.8,0.25,1.0175089672902786,4.115019113487881,0.4665736666486474
0.8,0.5,0.8299549005031277,4.365019113487881,0.4665736666486474
0.9,-0.5,1.255516720969697,3.848146502673866,0.5248953749797284
0.9,-0.25,1.01729670949395,4.098146502673866,0.5248953749797284
0.9,0.0,0.8165888233133307,4.348146502673866,0.5248953749797284
0.9,0.25,0.6886024143348333,4.598146502673866,0.5248953749797284
0.9,0.5,0.6368576024332724,4.848146502673866,0.5248953749797284
1.0,-0.5,0.8101530849934524,4.33127389185985,0.5832170833108092
1.0,-0.25,0.6771342807034947,4.58127389185985,0.5832170833108092
1.0,0.0,0.6215728863514471,4.83127389185985,0.5832170833108092
1.0,0.25,0.6969198371718152,5.08127389185985,0.5832170833108092
1.0,0.5,0.8890562243376908,5.33127389185985,0.5832170833108092
1.1,-0.5,0.6116289675782184,4.8144012810458365,0.6415387916418902
1.1,-0.25,0.6843027064223778,5.0644012810458365,0.6415387916418902
1.1,0.0,0.8730147458895499,5.3144012810458365,0.6415387916418902
1.1,0.25,1.1342330816010677,5.5644012810458365,0.6415387916418902
1.1,0.5,1.4194638785451916,5.8144012810458365,0.6415387916418902
1.2,-0.5,0.8608884437346329,5.297528670231821,0.6998604999729711
1.2,-0.25,1.1172873413744475,5.547528670231821,0.6998604999729711
1.2,0.0,1.4033568648577657,5.797528670231821,0.6998604999729711
1.2,0.25,1.6982123740665676,6.047528670231821,0.6998604999729711
1.2,0.5,2.001232011153096,6.297528670231821,0.6998604999729711
