s,in_rae_253,te_mean,te_std
1.0,0.6106582015784441,4.819160054766411,0.5705171382337502
1.1,0.596315862185627,4.819160054766411,0.6275688520571253
1.2,0.5883255678050746,4.819160054766411,0.6846205658805002
1.25,0.5863499876058782,4.819160054766412,0.7131464227921878
1.3,0.5880139242758415,4.819160054766411,0.7416722797038752
1.4,0.5975007820091581,4.819160054766411,0.7987239935272502
1.5,0.6136032690582945,4.819160054766411,0.8557757073506254
1.6,0.6349682171535357,4.819160054766411,0.9128274211740004
1.7,0.6597219082600215,4.819160054766411,0.9698791349973753
1.8,0.6862862922742282,4.819160054766411,1.0269308488207505
2.0,0.7450662279930189,4.819160054766411,1.1410342764675003
2.25,0.8323013907951685,4.819160054766411,1.283663561025938
2.5,0.9371522466483456,4.819160054766413,1.4262928455843753
