cycle,nb_lo,nb_hi,descriptor,best_rae,count
71,1610,1619,deploy_nb1590_compact; chemberta_K_grid_pre; preunblind_6way_chemberta,,n=4
72,1620,1629,catboost_6way_chemberta; chemberta_K_grid_ext; blend_nb1561_nb1612,0.5308450710274318,n=4
73,1630,1639,deploy_nb1622; three_arch_blend; bag_nb1622,0.52932794942298,n=4
74,1640,1649,histgbm_5way_K; audit_top5,0.5210599581401365,n=2
75,1650,1659,(no method),,
76,1660,1669,deploy_nb1632; triple_blend_final,,n=2
77,1670,1679,bag_nb1632_10seed,,n=1
78,1680,1689,deploy_nb1673; blend_PREPOST; dual_anchor_Mord,0.5380449174102262,n=3
79,1690,1699,direct_chembl_knn; catboost_sample_weighted,0.527131279605462,n=2
80,1700,1709,histgbm_absloss; catboost_alt_params,0.5210599581401365,n=2
81,1710,1719,lgbm_quantile; catboost_mid_depth; deploy_nb1411_alt,0.5191389383961859,n=3
82,1720,1729,catboost_depth2; catboost_all_variants_ensemble; extra_trees,0.5359062734342306,n=3
83,1730,1739,catboost_feature_weights; final_4way_blend,0.5106505828732308,n=2
84,1740,1749,xgboost_huber; 3way_final_constrained,0.5106505828732308,n=2
85,1750,1759,4bob_ensemble; catboost_ordered,0.5106505828732308,n=2
86,1760,1769,catboost_cat_features; nb1632_nb1411_blend,0.5034239048046724,n=2
87,1770,1779,lgbm_small_leaves; lgbm_dart,0.504356143380288,n=2
88,1780,1789,bag_nb1771; blend_nb1632_nb1771; deploy_nb1771,,n=3
89,1790,1799,deploy_nb1780; blend_bob_bob; lgbm_small_leaves_6way,0.5144438676388815,n=3
90,1800,1809,lgbm_leaves8; lgbm_leaves31; lgbm_l1,0.5146770668514411,n=3
91,1810,1819,lgbm_goss; lgbm_feat_frac; triple_top_blend,0.5089894304088235,n=3
92,1820,1829,bag_nb1811; bag_nb1812; three_lgbm_blend,,n=3
93,1830,1839,deploy_nb1821; blend_nb1780_nb1821; lgbm_path_smooth,0.5086774214133031,n=3
94,1840,1849,lgbm_smaller_subsample,0.5147233413031321,n=1
95,1850,1859,four_lgbm_blend; lgbm_mse,0.5126536408388691,n=2
96,1860,1869,bag_nb1852,,n=1
97,1870,1879,deploy_nb1861; blend_nb1861_nb1821,0.5003837931980735,n=2
98,1880,1889,lgbm_huber_mse_bag; lgbm_poisson,,n=2
99,1890,1899,bag_nb1881_mse; lgbm_mse_alt_seeds; lgbm_mse_heavy_reg,,n=3
100,1900,1909,lgbm_mse_3way; extra_trees_mse,,n=2
101,1910,1919,lgbm_mse_6way_morgan; catboost_rmse,0.513973804347262,n=2
102,1920,1929,blend_nb1861_nb1780_final,,n=1
103,1930,1939,lgbm_l2_sklearn; lgbm_mse_lr02; bag_nb1771_10outer,0.5081314515520331,n=3
104,1940,1949,bag_nb1861_10outer; blend_huber_mse_validated; lgbm_mse_leaves12,,n=3
105,1950,1959,deploy_nb1941,,n=1
106,1960,1969,lgbm_mse_no_embed,0.5329049237224005,n=1
107,1970,1979,bag_nb1861_20outer; blend_top2_bob; lgbm_extra_trees,,n=3
108,1980,1989,lgbm_categorical; lgbm_direct_train,,n=2
109,1990,1999,lgbm_smote; chembl_knn1,0.5323798163626514,n=2
110,2000,2009,lgbm_resid_weighted,0.5093531932564234,n=1
111,2010,2019,bag_nb2001; lgbm_monotone,0.520107145045216,n=2
112,2020,2029,catboost_cat_rmse; lgbm_lambda_grid,,n=2
113,2030,2039,bag_lambda3; xgboost_mse; lgbm_trajectory,,n=3
114,2040,2049,deploy_nb2031; wide_traj_25bag,,n=2
115,2050,2059,lgbm_n500; trajectory,,n=2
116,2060,2069,lgbm_tanh_residual; lgbm_top50_shap; trajectory,0.4943521612119429,n=3
117,2070,2079,bag_nb2063; deploy_nb2063; trajectory,,n=3
118,2080,2089,shap_K_grid; pooled_25bag_shap50; trajectory_shap_top50,0.4774513646428908,n=3
119,2090,2099,shap_K_grid_low; pooled_25bag_shap30; deploy_shap30,,n=3
120,2100,2109,deploy_nb2092_median; shap_K_fine,,n=2
121,2110,2119,pooled_25bag_shap28; deploy_shap28,,n=2
122,2120,2129,lambda_grid_K28; leaves_grid_K28; trajectory,,n=3
123,2130,2139,pooled_25bag_K28L14; pooled_25bag_K28L12; lr_grid_K28,,n=4
124,2140,2149,catboost_K28; lgbm_huber_K28; trajectory,0.46549573382088544,n=3
125,2150,2159,minchild_K28; featfrac_K28; trajectory,0.46202164211661867,n=6
126,2160,2169,dart_K28; trajectory; pooled_aggregate,,n=7
127,2170,2179,anchor_nb730; family_ablation; residual_cascade,0.3809881790075546,n=8
128,2180,2189,trajectory; nb730_honest; reeval_honest_anchor,0.45558505824626144,n=6
129,2190,2199,conformal_shrink; mlp_head; trajectory,0.48067390418419853,n=3
130,2200,2209,deploy_audit; clean_rebuild; transfer_sim,0.4697789387514748,n=3
