name,rae,spearman,kendall,r2,mae,te_mean,te_std,boltz_sp,selectivity_sp,biomech_score
aux_features,0.21789452586055724,0.9472380044231252,0.8200677950948071,0.9347628968541453,0.19824732409273232,4.6111235248798454,0.10645523301081163,0.07760773269879179,-0.6815144672114475,-0.3019533672563278
grand_v6,0.21885591526804363,0.9473410644606746,0.8198107207342106,0.934679793461464,0.19912202655114675,4.618895455994379,0.11757058354954047,0.08586808044348876,-0.7414069966379959,-0.32776945809725355
nb244_deep_greedy,0.26273028720571,0.9106532214292934,0.7660849863689014,0.8758224425345073,0.23904031636838588,4.693614415919724,0.49914762858318584,0.16800590412883704,0.08684110974583022,0.12742350693733362
nb243_greedy,0.2638447011275193,0.9093441019896427,0.7644410203941305,0.8741264740858848,0.24005424536480208,4.689043610581687,0.5025886950174533,0.16154357450451684,0.08049930882654108,0.12102144166552896
nb242_huber,0.28067286754002096,0.8994174837558853,0.7485725850218333,0.8621272864867129,0.2553650428595525,4.829008248815411,0.5302762620949583,0.11536730322888936,0.13492077459781102,0.1251440389133502
nb242_nonlin_stack,0.2813696788930987,0.8997931662862632,0.7488406774982693,0.8631840065006281,0.25599902384461637,4.780616236892426,0.49346085380607124,0.1367235498156871,0.04922770965594922,0.09297562973581816
nb250_hbond_corr,0.28371662887171295,0.8994668908933655,0.7479941092313371,0.8629713420967327,0.25813435308798394,4.792681230301889,0.5318486513291353,0.11167197846269371,0.12006436730607326,0.11586817288438347
nb269_routed,0.28384550370554634,0.8996708557203695,0.7480701321314226,0.8628864391115286,0.2582516074836576,4.793702092692131,0.5313191011538219,0.11059779748902088,0.11959300762850708,0.11509540255876398
nb239_full_slsqp,0.28384598346897294,0.8996707067907799,0.748069898214807,0.8628862541703219,0.2582520439875814,4.793702398443673,0.531319315593315,0.11059779748902088,0.11959300762850708,0.11509540255876398
nb268_gated,0.2840696918695223,0.8992658031998697,0.7476179713133758,0.8627104764752535,0.2584555809585577,4.795385686594687,0.5324180652429048,0.10736823261542315,0.11698830764898631,0.11217827013220473
nb248_personalized,0.28580078487852395,0.8979668663131908,0.7464462829855975,0.86043038851315,0.2600305840727242,4.796764813848516,0.5297161749451849,0.11834861096889437,0.11840594210071226,0.11837727653480332
nb224_pool_plus_2,0.28908741059583165,0.8955679953883128,0.7408909972805843,0.8622992269343863,0.26302085999258634,4.822636883298084,0.5977829261997223,0.0822811959576308,0.27611437498577834,0.17919778547170456
nb223_pool_plus_nb219,0.2924222449628727,0.8932735621843068,0.7376203751606004,0.8590869719494708,0.26605499766514756,4.839744459280105,0.5972321077496301,0.08357110198079507,0.2733665693904021,0.17846883568559857
nb179_stack,0.29320111112947295,0.8958424833624112,0.7395518869936153,0.8616246416470221,0.26676363471210884,4.879150401025037,0.5591728806455424,0.07426155000673644,0.19758446159188522,0.13592300579931083
nb145_xgb_stack,0.2939015525197191,0.8939978819156131,0.7371997191700341,0.8580676991101274,0.26740091841968106,4.84613037109375,0.5939186215400696,0.0815556238196009,0.2695644042824311,0.175560014051016
nb145_lgb_stack,0.29502843982221794,0.8935463166923748,0.7366228006711095,0.8568138850317283,0.26842619609195006,4.8433813435293,0.5972082931367864,0.07875235368739619,0.27537822547614177,0.17706528958176898
nb175_stack_nb224_eng,0.29612389431732083,0.8913465678631832,0.7339860707376279,0.8581701974408154,0.2694228752029181,4.825962408674786,0.573003754635264,0.08335942307280789,0.21720006434419736,0.1502797437085026
nb214_div15_nb212_blend,0.296169099870256,0.8886043676404956,0.7324744435329703,0.8500748092462342,0.2694640046432661,4.8708259216021,0.591620138075177,0.0726314331751883,0.2844176116970442,0.17852452243611627
nb219_diversity_blend,0.2961721985813763,0.8885563876038834,0.7324166661289054,0.850118811573986,0.2694668239485483,4.870598837458508,0.5916852140606853,0.07245552881880449,0.2837863470487178,0.17812093793376116
nb212_nb211_blend,0.2961722037574173,0.8885630830889826,0.7324246192938374,0.8501234664564177,0.26946682865787397,4.870583696021351,0.5916869400589516,0.07242050794138395,0.2837303491990353,0.1780754285702096
nb207_fine_alpha_min,0.2964000711793512,0.8887641701901446,0.7326117525863554,0.8502687784812739,0.26967414963791186,4.866257926639267,0.5937449015590271,0.06801783255967415,0.28769873014654024,0.1778582813531072
nb205_ratio_inflate,0.29648446609337187,0.888665666297988,0.732499238694229,0.8501452761944879,0.269750934797179,4.864670831893412,0.5992362047974162,0.06873673828702756,0.29957827397205733,0.18415750612954246
nb176_stack_nb224,0.29671267429335285,0.891774269521292,0.7342958856768796,0.857596076734033,0.26995856582785116,4.824169482498617,0.5715624833572268,0.07406377981893898,0.2165540891352904,0.14530893447711468
nb211_div15_chemprop_blend,0.29688550937867,0.8889880282024555,0.732850347534316,0.8503195789060447,0.2701158166492664,4.842591002166748,0.5916200165907087,0.07231508976721962,0.2874875382563088,0.1799013140117642
nb209_direct_best_inflate,0.29724630182234224,0.8883549922353949,0.7320870776174581,0.849680049289827,0.27044407701390116,4.8374667221263445,0.5951937857902787,0.06823382426559266,0.29980510970600954,0.1840194669858011
nb199_external_pxr,0.2974273128383679,0.8885253923946276,0.7321464924378326,0.849867217806717,0.2706087665553968,4.880251370312684,0.5930512773475629,0.06832146534461966,0.2870137786708991,0.17766762200775937
