cycle,rae,best_so_far,wins_to_date,is_win,at_or_below_floor,wall_sec
0,0.4986451677716438,0.4986451677716438,1,True,False,1.9991850852966309
1,0.49535713360022393,0.49535713360022393,2,True,False,1.5705184936523438
2,0.4923351179795665,0.4923351179795665,3,True,True,1.4128377437591553
3,0.5152793197899471,0.4923351179795665,3,False,False,2.6819841861724854
4,0.4860368625111636,0.4860368625111636,4,True,True,1.6249475479125977
5,0.4963509024921101,0.4860368625111636,4,False,False,1.2220046520233154
6,0.4911992010487871,0.4860368625111636,4,False,True,3.160287857055664
7,0.47996496508561626,0.47996496508561626,5,True,True,2.0566723346710205
8,0.49312539889082063,0.47996496508561626,5,False,True,1.3247530460357666
9,0.4978604285819614,0.47996496508561626,5,False,False,2.466238260269165
10,0.5021704380660623,0.47996496508561626,5,False,False,2.639669895172119
11,0.49911281538832436,0.47996496508561626,5,False,False,1.4523813724517822
12,0.5024734681535458,0.47996496508561626,5,False,False,2.178697109222412
13,0.4927180508149629,0.47996496508561626,5,False,True,1.2183051109313965
14,0.5117400027819597,0.47996496508561626,5,False,False,2.15295147895813
15,0.49591274121297524,0.47996496508561626,5,False,False,2.0873701572418213
16,0.4963961463249007,0.47996496508561626,5,False,False,2.228609323501587
17,0.49589875353903695,0.47996496508561626,5,False,False,2.2676467895507812
18,0.4918938276543806,0.47996496508561626,5,False,True,1.0608878135681152
19,0.4917961120829403,0.47996496508561626,5,False,True,2.098783493041992
20,0.4935626849022823,0.47996496508561626,5,False,True,1.5791077613830566
21,0.5049491314539135,0.47996496508561626,5,False,False,1.5293314456939697
22,0.48803611039354405,0.47996496508561626,5,False,True,1.6922259330749512
23,0.4928241825242369,0.47996496508561626,5,False,True,1.6111323833465576
24,0.4893408829105478,0.47996496508561626,5,False,True,2.0231151580810547
25,0.49149146978032326,0.47996496508561626,5,False,True,1.978795051574707
26,0.49634582096074226,0.47996496508561626,5,False,False,3.1049509048461914
27,0.5022611129408204,0.47996496508561626,5,False,False,2.6072840690612793
