cycle,rae,best_so_far,wins_to_date,is_win,at_or_below_floor,wall_sec
28,0.5037732639079155,0.47996496508561626,5,False,False,1.0826416015625
29,0.5194104116020347,0.47996496508561626,5,False,False,2.7829582691192627
30,0.49454526980884134,0.47996496508561626,5,False,False,1.455108404159546
31,0.49460960391752273,0.47996496508561626,5,False,False,1.8687465190887451
32,0.4942777666391148,0.47996496508561626,5,False,False,1.7566523551940918
33,0.49792331452687366,0.47996496508561626,5,False,False,1.6898887157440186
34,0.5058688761506853,0.47996496508561626,5,False,False,2.4381799697875977
35,0.5002875015419505,0.47996496508561626,5,False,False,2.423001766204834
36,0.49704794124974455,0.47996496508561626,5,False,False,1.924746036529541
37,0.4941917839930106,0.47996496508561626,5,False,False,1.3581035137176514
38,0.49591547380662176,0.47996496508561626,5,False,False,1.6623456478118896
39,0.4949986465926065,0.47996496508561626,5,False,False,1.5334413051605225
40,0.4975842596359731,0.47996496508561626,5,False,False,2.398467540740967
41,0.4982090277361841,0.47996496508561626,5,False,False,1.2824504375457764
42,0.49558296118597917,0.47996496508561626,5,False,False,1.916283369064331
43,0.48382874415146065,0.47996496508561626,5,False,True,1.4723803997039795
44,0.49977520461484815,0.47996496508561626,5,False,False,2.2500460147857666
45,0.4888647009060204,0.47996496508561626,5,False,True,1.3319735527038574
46,0.4927152639338184,0.47996496508561626,5,False,True,1.5663204193115234
47,0.498904868723561,0.47996496508561626,5,False,False,2.125447988510132
48,0.48968224415101946,0.47996496508561626,5,False,True,1.960292100906372
49,0.49063943082964573,0.47996496508561626,5,False,True,2.603079080581665
50,0.4868814465251878,0.47996496508561626,5,False,True,1.2497847080230713
51,0.5021559565198536,0.47996496508561626,5,False,False,2.2118990421295166
52,0.49895681715809875,0.47996496508561626,5,False,False,1.761136770248413
53,0.5007333334715334,0.47996496508561626,5,False,False,2.838224172592163
54,0.49459969010172095,0.47996496508561626,5,False,False,2.44181227684021
55,0.4989617366833841,0.47996496508561626,5,False,False,1.9047884941101074
56,0.49161985868407637,0.47996496508561626,5,False,True,1.4420084953308105
57,0.4998400130388625,0.47996496508561626,5,False,False,2.9766781330108643
58,0.4974087386210085,0.47996496508561626,5,False,False,1.5983965396881104
59,0.4774513646428908,0.4774513646428908,6,True,True,1.6230137348175049
60,0.49694539799832477,0.4774513646428908,6,False,False,2.439211368560791
61,0.5026437734874295,0.4774513646428908,6,False,False,1.9374701976776123
62,0.5064878170192015,0.4774513646428908,6,False,False,1.5892713069915771
63,0.5045275004860488,0.4774513646428908,6,False,False,1.9137015342712402
64,0.4972150356459339,0.4774513646428908,6,False,False,2.090419292449951
65,0.49519480009234496,0.4774513646428908,6,False,False,1.3486816883087158
66,0.5049034021076827,0.4774513646428908,6,False,False,1.8773550987243652
67,0.5010968101856972,0.4774513646428908,6,False,False,2.237384080886841
68,0.49166282064386907,0.4774513646428908,6,False,True,1.8545994758605957
69,0.4977101351098741,0.4774513646428908,6,False,False,1.5288982391357422
70,0.48542860554163686,0.4774513646428908,6,False,True,1.0753419399261475
71,0.5015196741036423,0.4774513646428908,6,False,False,2.4537417888641357
72,0.49778872975110416,0.4774513646428908,6,False,False,1.2122128009796143
73,0.5013044170516457,0.4774513646428908,6,False,False,2.228973865509033
74,0.5117198507105054,0.4774513646428908,6,False,False,2.0577149391174316
75,0.4912488494295825,0.4774513646428908,6,False,True,2.2661097049713135
76,0.5039257156242415,0.4774513646428908,6,False,False,2.942197799682617
77,0.4977127650790163,0.4774513646428908,6,False,False,1.3970081806182861
78,0.49887541818002334,0.4774513646428908,6,False,False,2.440608501434326
79,0.4895784012597252,0.4774513646428908,6,False,True,2.237516403198242
80,0.501058043973473,0.4774513646428908,6,False,False,1.4987483024597168
81,0.49521529350653987,0.4774513646428908,6,False,False,2.263598680496216
82,0.51650470722692,0.4774513646428908,6,False,False,3.0122482776641846
83,0.504929697054359,0.4774513646428908,6,False,False,2.8121941089630127
84,0.49267970250530263,0.4774513646428908,6,False,True,1.1967027187347412
85,0.4965748491471252,0.4774513646428908,6,False,False,1.5730504989624023
86,0.4923261877260792,0.4774513646428908,6,False,True,1.292311429977417
87,0.5001365983742959,0.4774513646428908,6,False,False,2.3216023445129395
88,0.4894106392488638,0.4774513646428908,6,False,True,1.5465896129608154
89,0.49278416082786863,0.4774513646428908,6,False,True,2.3576676845550537
90,0.48906455579439534,0.4774513646428908,6,False,True,1.058326005935669
91,0.4987118510254269,0.4774513646428908,6,False,False,1.6195414066314697
92,0.49451489971886786,0.4774513646428908,6,False,False,2.3246219158172607
93,0.4827867588383737,0.4774513646428908,6,False,True,1.7673721313476562
94,0.5000435485583731,0.4774513646428908,6,False,False,1.7780890464782715
95,0.5051241426460636,0.4774513646428908,6,False,False,2.805023431777954
96,0.5023242973624437,0.4774513646428908,6,False,False,1.3140246868133545
97,0.4920602505457803,0.4774513646428908,6,False,True,2.311267375946045
98,0.5006183658651691,0.4774513646428908,6,False,False,1.616565227508545
99,0.4926821854878844,0.4774513646428908,6,False,True,1.2231924533843994
100,0.4991976452424048,0.4774513646428908,6,False,False,1.5898876190185547
101,0.4977842206611169,0.4774513646428908,6,False,False,2.1151492595672607
102,0.4966610476279892,0.4774513646428908,6,False,False,2.1378073692321777
103,0.48280330208115435,0.4774513646428908,6,False,True,1.2610805034637451
104,0.48447242718585093,0.4774513646428908,6,False,True,3.232088088989258
105,0.49723616292179673,0.4774513646428908,6,False,False,1.383652925491333
106,0.4875671957434335,0.4774513646428908,6,False,True,1.1388580799102783
107,0.49413374092637946,0.4774513646428908,6,False,False,1.5044639110565186
108,0.4991173539193579,0.4774513646428908,6,False,False,2.4744479656219482
109,0.49795106762658764,0.4774513646428908,6,False,False,1.3563904762268066
110,0.49051391061328187,0.4774513646428908,6,False,True,1.8740909099578857
111,0.49494451236976034,0.4774513646428908,6,False,False,1.3030707836151123
112,0.4854930559427369,0.4774513646428908,6,False,True,1.2941434383392334
