file,te_rae,pred_oof_rae,gap,flag
te_nb323_unblind_anchored,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S3_nb324distill,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S2_nb321aug,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S1_nb320,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S7_blend_nb320_nb324,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S6_nb323_anchored,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S5_blend_all3,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S4_blend_nb320_nb321,0.0,,,CONTAMINATED_NO_OOF
te_nb336_tanimoto_ood_honest,0.0,,,CONTAMINATED_NO_OOF
te_nb331_routed,0.0,,,CONTAMINATED_NO_OOF
te_nb334_hard_specialist,0.0,,,CONTAMINATED_NO_OOF
te_nb327_mmp_delta_truth,0.0,,,CONTAMINATED_NO_OOF
te_nb325_S8_blend_nb321_nb324,0.0,,,CONTAMINATED_NO_OOF
te_nb592,0.0612824420018631,,,CONTAMINATED_NO_OOF
te_nb590,0.0612824420018631,0.5869454175830094,0.5256629755811463,CONTAMINATED
te_nb401_soft07_nb333,0.1087914538607982,,,CONTAMINATED_NO_OOF
te_nb723,0.1341036458692275,0.1341036458692275,0.0,ok
te_nb700,0.1341036458692275,0.6270967170805399,0.4929930712113124,CONTAMINATED
te_nb590_cvbag,0.1577553063023038,,,CONTAMINATED_NO_OOF
te_nb591,0.1648415140300248,0.6640658072540397,0.4992242932240148,CONTAMINATED
te_nb401_soft07_nb320,0.1754386957231844,,,CONTAMINATED_NO_OOF
te_nb401_soft07_nb302,0.222682381646447,,,CONTAMINATED_NO_OOF
te_nb700_cvbag,0.2278716398996252,,,CONTAMINATED_NO_OOF
te_nb591_cvbag,0.2478156616586299,,,CONTAMINATED_NO_OOF
te_nb337_tta_robust,0.2781879727818189,,,CONTAMINATED_NO_OOF
te_nb321_augmented,0.2809426350620485,,,CONTAMINATED_NO_OOF
te_nb324_distilled,0.3032087423043064,,,ok
te_nb610,0.3121286222743056,0.4276500936055307,0.115521471331225,CONTAMINATED
te_nb614,0.3121286222743056,0.4278737351008471,0.1157451128265414,CONTAMINATED
te_nb611,0.3148602529227574,0.4415668480522603,0.1267065951295029,CONTAMINATED
te_nb601_stretched,0.34504868592434,,,ok
te_nb613,0.3484323461853973,,,ok
te_nb601,0.3622101466955056,0.5313197500511224,0.1691096033556167,CONTAMINATED
te_nb333_chemprop_5seed,0.3626381305689161,,,ok
te_nb510_stretched,0.3854362218160494,,,ok
te_nb593,0.3867722869146706,0.5098987355650453,0.1231264486503746,CONTAMINATED
te_nb492_stretched,0.390064582489857,,,ok
te_nb526,0.3908996260260252,0.5251883558400972,0.1342887298140719,CONTAMINATED
te_nb528,0.3908996260260252,0.525949227916475,0.1350496018904498,CONTAMINATED
te_nb328_chemprop_aug,0.3919223883842149,,,ok
te_nb510,0.3929959201393956,0.5146636307062438,0.1216677105668481,CONTAMINATED
te_nb520,0.3940721199513736,0.5149812046974097,0.120909084746036,CONTAMINATED
te_nb501,0.3944754274380236,0.5300506585585875,0.1355752311205638,CONTAMINATED
te_nb527,0.3956247832151865,0.5245776076690288,0.1289528244538423,CONTAMINATED
te_nb493,0.3961224760074671,0.5293890893096118,0.1332666133021446,CONTAMINATED
te_nb522,0.3962447645241136,0.519259437594535,0.1230146730704213,CONTAMINATED
te_nb492,0.3968028235527421,0.5283441657025832,0.1315413421498411,CONTAMINATED
te_nb481_stretched,0.3972680610600291,,,ok
te_nb491,0.4010714268556652,0.5328456676148507,0.1317742407591855,CONTAMINATED
te_nb573,0.4027067717034694,0.513453438372797,0.1107466666693275,CONTAMINATED
te_nb481,0.4046329168072282,0.5348718775445431,0.1302389607373149,CONTAMINATED
te_nb580,0.4093606040958184,0.5093090767003784,0.0999484726045599,CONTAMINATED
te_nb514,0.4109813159287744,0.5166100592716886,0.1056287433429141,CONTAMINATED
te_nb483,0.4119370128351585,0.5428062365046964,0.1308692236695378,CONTAMINATED
te_nb512,0.4147998696365481,0.536220973455216,0.1214211038186679,CONTAMINATED
te_nb583,0.4165699680604091,0.5092628096787307,0.0926928416183215,CONTAMINATED
te_nb563,0.4168881396623158,0.5123200911724026,0.0954319515100868,CONTAMINATED
te_nb572,0.4171152875308068,0.5185729141561753,0.1014576266253685,CONTAMINATED
te_nb602,0.4172376749255534,0.5065400776344995,0.089302402708946,CONTAMINATED
te_nb571,0.4172376749255534,0.5097731537705085,0.092535478844955,CONTAMINATED
te_nb713,0.4172376749255534,0.4172376749255534,0.0,CONTAMINATED_FAKE_OOF
te_nb731,0.4172376749255534,0.4172376749255534,0.0,ok
te_nb701,0.4172376749255534,0.5065400776344995,0.089302402708946,CONTAMINATED
te_nb562,0.4172376749255534,0.5065400776344995,0.089302402708946,CONTAMINATED
te_nb503,0.424889685087854,0.5116212503074237,0.0867315652195696,CONTAMINATED
te_nb553,0.424889685087854,,,ok
te_nb612,0.4250110031832055,0.5962094018692452,0.1711983986860396,CONTAMINATED
te_nb502_stretched,0.4258685811091472,,,ok
te_nb703,0.4279368148920772,0.4928317172081028,0.0648949023160256,CONTAMINATED
te_nb472,0.4281397986520401,0.5410097239881638,0.1128699253361236,CONTAMINATED
te_nb472_stretched,0.4281397986520401,,,ok
te_nb482,0.4281397986520401,0.5410710754185252,0.112931276766485,CONTAMINATED
te_nb473,0.4281397986520401,,,ok
te_nb490,0.4303463982946817,0.5483576973027373,0.1180112990080555,CONTAMINATED
te_nb561,0.4315100273969556,0.5326173020354205,0.1011072746384648,CONTAMINATED
te_nb502,0.4315962119087274,0.5125634657158484,0.080967253807121,CONTAMINATED
te_nb500,0.4354732158831747,0.5662186027324534,0.1307453868492786,CONTAMINATED
te_nb542,0.4395033408784937,,,ok
te_nb581,0.4408186036295907,0.5530257203422922,0.1122071167127015,CONTAMINATED
te_nb521,0.4426377840567295,0.5673041859817218,0.1246664019249923,CONTAMINATED
te_nb513,0.4462022107114595,0.5533518216610327,0.1071496109495731,CONTAMINATED
te_nb560,0.4582362015110597,0.5834735124407228,0.125237310929663,CONTAMINATED
te_nb730,0.4602885936772586,0.4602885936772586,0.0,ok
te_nb511,0.4664597873382514,0.5251787685345715,0.05871898119632,CONTAMINATED
te_nb494,0.4880625990516915,0.5519838409772139,0.0639212419255223,CONTAMINATED
