base,rae_orig,best_s,rae_stretched,delta
nb502,0.5125634657158483,1.05,0.5090403718233999,-0.0035230938924484256
nb510,0.5146636307062437,1.05,0.5128025884543485,-0.0018610422518952063
nb481,0.5348718775445431,1.05,0.5318395311578684,-0.0030323463866747113
nb492,0.5283441657025832,1.05,0.5256814015642366,-0.0026627641383466516
nb472,0.5410097239881637,1.0,0.5410097239881637,0.0
