,nb472,nb481,nb490,nb491,nb492,nb482
nb472,1.0,0.6867050949550685,0.7108415544498934,0.7129866656653944,0.6743673046464663,0.850232705397764
nb481,0.6867050949550685,1.0,0.8247118745220164,0.9553508190167151,0.9824431986921419,0.6760057689621465
nb490,0.7108415544498935,0.8247118745220166,0.9999999999999999,0.8239088284703474,0.8042624503969299,0.7174706060861812
nb491,0.7129866656653944,0.9553508190167151,0.8239088284703474,1.0,0.9463855587262634,0.7263788223596975
nb492,0.6743673046464663,0.982443198692142,0.8042624503969299,0.9463855587262635,1.0,0.6570043932407322
nb482,0.850232705397764,0.6760057689621465,0.7174706060861813,0.7263788223596975,0.6570043932407322,0.9999999999999998
