iter	Passed	Remaining
400	30435	121363
401	30512	121289
402	30573	121157
403	30647	121071
404	30741	121069
405	30826	121026
406	30904	120962
407	30969	120841
408	31044	120760
409	31119	120684
410	31204	120642
411	31271	120532
412	31362	120513
413	31447	120472
414	31525	120405
415	31603	120337
416	31692	120309
417	31761	120205
418	31836	120128
419	31908	120037
420	31997	120009
421	32067	119912
422	32139	119818
423	32210	119724
424	32299	119699
425	32383	119651
426	32455	119561
427	32525	119462
428	32614	119434
429	32682	119330
430	32766	119282
431	32833	119175
432	32921	119140
433	32995	119056
434	33067	118966
435	33159	118948
436	33243	118899
437	33312	118800
438	33384	118707
439	33456	118619
440	33538	118563
441	33613	118485
442	33682	118382
443	33752	118286
444	33839	118246
445	33918	118182
446	33984	118070
447	34049	117956
448	34133	117908
449	34202	117808
450	34267	117693
451	34328	117568
452	34413	117522
453	34486	117436
454	34560	117354
455	34644	117304
456	34730	117262
457	34800	117165
458	34868	117064
459	34931	116945
460	35013	116889
461	35078	116777
462	35148	116681
463	35211	116560
464	35304	116541
465	35372	116442
466	35434	116318
467	35500	116210
468	35585	116163
469	35661	116088
470	35730	115991
471	35813	115939
472	35903	115908
473	35972	115809
474	36034	115688
475	36111	115618
476	36208	115608
477	36275	115505
478	36352	115433
479	36429	115360
480	36519	115329
481	36595	115253
482	36666	115162
483	36747	115102
484	36834	115061
485	36916	115002
486	36990	114921
487	37064	114837
488	37150	114793
489	37218	114692
490	37275	114560
491	37335	114434
492	37430	114416
493	37499	114320
494	37570	114228
495	37650	114165
496	37738	114127
497	37822	114075
498	37906	114023
499	37974	113924
500	38061	113881
501	38135	113797
502	38208	113714
503	38277	113616
504	38358	113557
505	38426	113457
506	38498	113368
507	38561	113256
508	38652	113224
509	38725	113138
510	38789	113027
511	38862	112942
512	38950	112901
513	39033	112848
514	39103	112755
515	39173	112662
516	39264	112629
517	39341	112556
518	39404	112444
519	39476	112354
520	39562	112310
521	39642	112243
522	39711	112149
523	39783	112063
524	39862	111995
525	39926	111884
526	40005	111817
527	40084	111750
528	40173	111712
529	40254	111649
530	40329	111569
531	40394	111464
532	40497	111464
533	40577	111398
534	40654	111324
535	40721	111224
536	40809	111181
537	40875	111078
538	40955	111012
539	41029	110932
540	41120	110896
541	41180	110776
542	41256	110702
543	41326	110608
544	41408	110550
545	41479	110460
546	41555	110383
547	41623	110286
548	41713	110248
549	41790	110173
550	41855	110071
551	41919	109962
552	42000	109899
553	42062	109788
554	42126	109681
555	42203	109607
556	42309	109610
557	42381	109524
558	42444	109413
559	42517	109331
560	42617	109317
561	42695	109246
562	42766	109156
563	42849	109100
564	42932	109041
565	43005	108958
566	43068	108849
567	43142	108768
568	43224	108706
569	43306	108645
570	43379	108563
571	43454	108484
572	43538	108429
573	43608	108338
574	43679	108249
575	43749	108158
576	43843	108127
577	43907	108020
578	43972	107918
579	44043	107831
580	44129	107779
581	44200	107690
582	44285	107636
583	44358	107553
584	44460	107541
585	44538	107470
586	44600	107360
587	44672	107274
588	44773	107258
589	44847	107177
590	44926	107109
591	44996	107017
592	45076	106953
593	45147	106864
594	45217	106773
595	45288	106685
596	45371	106627
597	45432	106514
598	45513	106450
599	45585	106365
600	45672	106315
601	45744	106231
602	45815	106142
603	45889	106062
604	45981	106023
605	46057	105948
606	46131	105866
607	46208	105793
608	46299	105751
609	46369	105661
610	46444	105584
611	46509	105482
612	46589	105415
613	46653	105311
614	46725	105227
