iter	MAE	RMSE
107	0.4566036878	0.6302143272
108	0.4561779355	0.6296308125
109	0.4549849412	0.6278436791
110	0.4538466314	0.6261832594
111	0.4531277366	0.625095342
112	0.4524191229	0.6239975878
113	0.4517819357	0.6232407816
114	0.4507211773	0.6216678601
115	0.4500081713	0.6207926105
116	0.4493001741	0.6195979129
117	0.4488180264	0.6187447375
118	0.4476539627	0.6170959715
119	0.4472277205	0.6163729054
120	0.4469147515	0.6157892408
121	0.4461395977	0.6145988076
122	0.4449516293	0.6127022994
123	0.4444367164	0.6119069307
124	0.4437530998	0.6109371874
125	0.4434668734	0.6104453863
126	0.4425066955	0.609189753
127	0.4418040703	0.6080536165
128	0.4414762742	0.6073582112
129	0.441001257	0.6064804097
130	0.4403451325	0.6055272637
131	0.4394512924	0.604364046
132	0.4387355765	0.6035854879
133	0.4380017011	0.6025627744
134	0.4375061581	0.6017243465
135	0.437132298	0.601175399
136	0.4367417639	0.600579426
137	0.4363762486	0.5999874459
138	0.4356043708	0.5988079813
139	0.4353104273	0.5983734361
140	0.434742679	0.5976630386
141	0.4341575386	0.5968062095
142	0.43369234	0.5961102258
143	0.4332400684	0.5953855061
144	0.4327932229	0.5947540127
145	0.4322408685	0.593896944
146	0.4318476464	0.5933198696
147	0.4312797373	0.5923366958
148	0.4304653427	0.5911859333
149	0.4296932437	0.5900087246
150	0.4291478128	0.5891180899
151	0.4281033161	0.5876832373
152	0.4273606689	0.5865772362
153	0.4262236286	0.5851337382
154	0.4254523361	0.5838778438
155	0.4247535324	0.582903494
156	0.4239569572	0.5817346057
157	0.4235844098	0.5810874868
158	0.4229230977	0.5801280052
159	0.4226736728	0.5797723932
160	0.4222113335	0.5792427657
161	0.4217782001	0.578606151
162	0.4211015274	0.5776461804
163	0.4202242502	0.5761442109
164	0.419306199	0.5748529758
165	0.4185847111	0.5738871624
166	0.4179334145	0.5728981817
167	0.4174895262	0.5721834425
168	0.4168608986	0.5712373975
169	0.4161629069	0.5703538694
170	0.4156351452	0.5695076258
171	0.4153040871	0.5688996235
172	0.4147461302	0.5681299107
173	0.4141315418	0.5673097098
174	0.413380587	0.5661402304
175	0.4128730236	0.5654646234
176	0.4124514946	0.5647987028
177	0.4118476959	0.5639516844
178	0.4110964626	0.5629715186
179	0.4103489821	0.5619655265
180	0.4094886353	0.5608829655
181	0.4088425322	0.5600060935
182	0.4076589832	0.5585722164
183	0.4069731859	0.5575757409
184	0.4064010808	0.5566717625
185	0.4058193737	0.5557443399
186	0.4048665787	0.5544965496
187	0.4039953035	0.5532562089
188	0.4032209269	0.5522134487
189	0.4024231897	0.5511324294
190	0.4017243148	0.5500791734
191	0.4009951748	0.5491100395
192	0.4005340357	0.5484325376
193	0.400107457	0.5476258789
194	0.3995184398	0.546679827
195	0.3989938294	0.5458792224
196	0.398815323	0.5455363864
197	0.3979320536	0.5442941937
198	0.3974689249	0.5434884471
199	0.3968727378	0.5425974485
200	0.395838089	0.5411684926
201	0.3950359602	0.5401123898
202	0.3944704375	0.5392159212
203	0.3935654947	0.5380034613
204	0.3930584346	0.537173195
205	0.3925399864	0.5363782221
206	0.3920647428	0.5355673127
207	0.391380073	0.5345812774
208	0.390848838	0.533764675
209	0.3899947585	0.5325768317
210	0.3894511788	0.5318265871
211	0.3887851041	0.5309336033
212	0.3881467927	0.5299475073
213	0.3871363215	0.5287469836
214	0.386634465	0.5279254133
215	0.3859617164	0.5269824718
216	0.385413391	0.5260636802
217	0.3846906843	0.5250113077
218	0.3838972624	0.5240423308
219	0.3831038645	0.522979424
220	0.3824489346	0.522009992
221	0.3819910463	0.5213161801
222	0.3815110521	0.5205695155
223	0.3805944599	0.5193593577
224	0.3800337954	0.5185127248
225	0.378954789	0.5170725292
226	0.3784480263	0.5163040346
227	0.3778572004	0.5153899342
228	0.377341902	0.5144337101
229	0.3769651902	0.513868348
230	0.376126695	0.5127019719
231	0.3755490752	0.5119875081
232	0.3749070429	0.5109629888
233	0.3742871917	0.510120542
234	0.373796671	0.509299
235	0.3736510301	0.5090351946
236	0.3729624326	0.5081347204
237	0.3720971982	0.5068805634
238	0.3714821233	0.506094422
239	0.3708910928	0.505272826
240	0.370612732	0.5047044033
241	0.3696763292	0.5035475433
242	0.3693787692	0.5031434231
243	0.3689541272	0.5024283111
244	0.3683140678	0.5015763858
245	0.3677944302	0.5008499808
246	0.3675207087	0.5003232891
247	0.3667551046	0.4991984901
248	0.3662896586	0.4984235699
249	0.3656165928	0.497397284
250	0.364966864	0.4964110074
251	0.3644924153	0.4957910112
252	0.3639047309	0.4949409225
253	0.3634371856	0.4942360069
254	0.3630122331	0.4936299224
255	0.3626840543	0.4931109218
256	0.361925654	0.4921139974
257	0.3614490065	0.491400156
258	0.361031203	0.4906676648
259	0.3601863058	0.4895120024
260	0.3595778688	0.4887692318
261	0.3591182559	0.4881192505
262	0.3587878251	0.4876310203
263	0.3583065482	0.4869142001
264	0.3574825482	0.4859047473
265	0.3571414312	0.4853181453
266	0.3565277475	0.4845270366
267	0.3556716728	0.4833909633
268	0.3553166156	0.4827744326
269	0.3547049199	0.4819075479
270	0.3541022089	0.4810896426
271	0.3534776499	0.4801771218
272	0.3530085525	0.4794417521
273	0.3527453859	0.4789171053
274	0.3520043169	0.4779391297
275	0.3515347787	0.4772207267
276	0.351051789	0.4765111177
277	0.3505920002	0.4759061329
278	0.3503547779	0.4755169072
279	0.3498798974	0.4748914683
280	0.3495261137	0.4742493028
281	0.3491130535	0.4735435976
282	0.3484716285	0.4727500779
283	0.3479462352	0.4720209786
284	0.3470783111	0.4709320927
285	0.3466807756	0.470348445
286	0.345960161	0.469527663
287	0.3455582114	0.4688869285
288	0.3452548489	0.4682867233
289	0.3448037613	0.4676515055
290	0.3444551372	0.4672187921
291	0.3440196548	0.46657536
292	0.3436283102	0.4660219618
293	0.3432817237	0.4654377737
294	0.3428899761	0.4648139373
295	0.342168675	0.4639078941
296	0.342077651	0.4636772812
297	0.3415103642	0.462985412
298	0.3412042414	0.4624734824
299	0.3407418786	0.4618073816
300	0.3403120546	0.4611592936
301	0.3398339995	0.4603996328
302	0.3392152524	0.4596629527
303	0.3385095007	0.4587997168
304	0.3379017923	0.4580190264
305	0.3369300716	0.4567767263
306	0.3365662156	0.4562108406
307	0.3359961967	0.4554006661
308	0.3357205395	0.4549580775
309	0.3354753698	0.4544593409
310	0.3349582649	0.4537881044
311	0.3348419846	0.4535359202
312	0.3343566715	0.4529428625
313	0.3340995147	0.4524982682
314	0.3338045213	0.4519965501
315	0.3332652049	0.4512672917
316	0.3328219028	0.4506319967
317	0.3321338285	0.4497403901
318	0.3319229517	0.4493866602
319	0.3315103291	0.4487754706
320	0.3309820191	0.4480445134
321	0.3308240167	0.4477412814
322	0.3300950126	0.4467178508
323	0.3294194242	0.4457968652
324	0.3288129539	0.4450318549
325	0.3284531417	0.4444433881
326	0.3281618986	0.444051005
327	0.3279695576	0.4437205612
328	0.3272941819	0.4427953127
329	0.3269734448	0.4422996274
330	0.3263685968	0.4415840277
331	0.3258941414	0.4409100406
332	0.325472549	0.4402477855
333	0.3250865798	0.4397008275
334	0.3244505444	0.4388472062
335	0.3235897912	0.4377074251
336	0.3228252352	0.436765278
337	0.3227599728	0.4366414987
338	0.3226322021	0.4364016828
339	0.3220593371	0.4356286552
340	0.3217118905	0.4350783068
341	0.3213392421	0.4345072914
342	0.3209574219	0.4339246439
343	0.3205803898	0.4333846961
344	0.3201619511	0.4327649586
345	0.3197483718	0.4321385038
346	0.3189660946	0.4312230208
347	0.3186620643	0.4307470231
348	0.3183533062	0.4303147254
349	0.3180795097	0.4298617256
350	0.3175677557	0.4290409982
351	0.317192407	0.4284957588
352	0.3166272855	0.4278510165
353	0.3159496948	0.4270094899
354	0.3156254233	0.4264901612
355	0.315073265	0.4257759675
356	0.3146851464	0.4251850577
357	0.3141868166	0.4245151097
358	0.3140301299	0.4241952631
359	0.3135562537	0.4236291715
360	0.313253985	0.4231239869
361	0.3128220104	0.4225386672
362	0.3127186419	0.4223284024
363	0.3124538917	0.4219134883
364	0.3123315193	0.4216628333
365	0.3116323563	0.4207152215
366	0.3112004445	0.420233049
367	0.3111439954	0.4200995476
368	0.310614067	0.4194441584
369	0.310086833	0.4187790512
370	0.3096360616	0.4181766645
371	0.309239861	0.4176430568
372	0.3090470723	0.4173662005
373	0.3085200378	0.4167108712
374	0.3080410614	0.4160954982
375	0.3073735965	0.4153043652
376	0.3070215783	0.4148681852
377	0.306590165	0.4142697035
378	0.3059197779	0.4133734557
379	0.3054314895	0.4127710517
380	0.3050145478	0.4122322386
381	0.3047802914	0.4118823798
382	0.3045345478	0.4115418717
383	0.3041676017	0.4109057975
384	0.3038513636	0.4103927837
385	0.3035991174	0.4099678136
386	0.3031707993	0.4095090781
387	0.3028447195	0.409014372
388	0.3025672291	0.408661783
389	0.3022487831	0.4081886657
390	0.3016056773	0.4074231178
391	0.3010730231	0.4067616686
392	0.3006127139	0.4060752796
393	0.3004166096	0.4057602197
394	0.3001629559	0.4054593621
395	0.2999096973	0.4050361513
396	0.2996284797	0.4045822273
397	0.2991625487	0.4040379415
398	0.2988298247	0.4035247744
399	0.298647721	0.4031896378
400	0.2982916558	0.4027264
401	0.2981549828	0.4024953861
402	0.2980563389	0.4022857947
403	0.2976478191	0.4016669117
404	0.297190054	0.4011104956
405	0.2968950723	0.4007063851
406	0.296614497	0.4002556207
407	0.2963424422	0.3997587273
408	0.2962941047	0.3996721648
409	0.2958208554	0.3990276215
410	0.2956266358	0.3987677184
411	0.2954426929	0.3985132066
412	0.2947831747	0.3977847526
413	0.2943915161	0.3973032515
414	0.2938037867	0.3965301667
415	0.2937531403	0.396446163
416	0.2932828193	0.39584569
417	0.2928667853	0.3952982093
418	0.2924009963	0.3946755633
419	0.2920475648	0.3942546595
420	0.291735873	0.3938157526
421	0.2913337361	0.393321554
422	0.2910542234	0.3928777171
423	0.2905083785	0.392178528
424	0.2902454672	0.3917279704
425	0.2898773849	0.3912370687
426	0.289564337	0.3907953867
427	0.2890646043	0.3902045145
428	0.2883749215	0.389341692
429	0.2881791665	0.3889746075
430	0.2877224449	0.3884016337
431	0.2876953461	0.3883512414
432	0.2871894024	0.3877218987
433	0.2870908773	0.3875259694
434	0.2867921451	0.3871438126
435	0.2864827646	0.3867930718
436	0.2863852469	0.3865992137
437	0.2856832232	0.3857125975
438	0.2852788358	0.385220795
439	0.2849499574	0.38475661
440	0.2843432207	0.3840365713
441	0.2841487275	0.3837825585
442	0.2837709851	0.3833827266
443	0.2835064793	0.3830326559
444	0.2829583963	0.3823510398
445	0.2826584789	0.3819619214
446	0.2823750695	0.3815596058
447	0.2819748989	0.3809735164
448	0.2815415116	0.3804133203
449	0.2813119417	0.3800752838
450	0.280796708	0.3794129865
451	0.2805490508	0.3790734009
452	0.2802202812	0.378661171
453	0.2800150539	0.3783393765
454	0.2795894431	0.3778086912
455	0.2789129292	0.3770333784
456	0.2786857339	0.3767235611
457	0.2784156286	0.3763868209
458	0.2782691128	0.3761111904
459	0.2774708411	0.3752879497
460	0.277152554	0.3748821469
461	0.2767707156	0.3744009428
462	0.2763252043	0.3738581519
463	0.2760582613	0.3735249853
464	0.2756683027	0.3731058197
465	0.2753028566	0.3726143809
466	0.2749068503	0.3720499072
467	0.2746565532	0.3716303401
468	0.2742599967	0.3711513128
469	0.2739770609	0.3707853694
470	0.2736855787	0.3703795015
471	0.273318917	0.3699029638
472	0.272911792	0.3693690108
473	0.2725636742	0.368935347
474	0.2722837886	0.3685689747
475	0.2718935883	0.368097564
476	0.2715665339	0.3676850386
477	0.2715376712	0.3676287834
478	0.271236323	0.3672554422
479	0.2710344331	0.3669697948
480	0.2707741973	0.3665510615
481	0.2704214663	0.3661176607
482	0.2700776493	0.36568323
483	0.2699413821	0.3654583171
484	0.2699236689	0.3654118272
485	0.2697538964	0.3651582264
486	0.2692158671	0.3644763824
487	0.2690119963	0.3641827817
488	0.2687592732	0.3637878238
489	0.2685566648	0.3635284125
490	0.2683559692	0.3632185089
491	0.2680741552	0.3628518281
492	0.267804794	0.3624732154
493	0.2675791582	0.3621217191
494	0.2670742693	0.3615643062
495	0.2668028458	0.3611344213
496	0.2666472637	0.3609031182
497	0.2664005644	0.3604964789
498	0.2660769283	0.3600796918
499	0.2659614257	0.3598773479
500	0.2653980423	0.3591692569
501	0.2646472056	0.3583596295
502	0.2641705619	0.357730591
503	0.2638827815	0.3573345933
504	0.2638247269	0.3572314981
505	0.2635539115	0.3568539942
506	0.2632305503	0.3564658547
507	0.2628084246	0.3559656867
508	0.262784728	0.3559199376
509	0.2624987412	0.3555336362
510	0.2621196486	0.3550526539
511	0.2620327952	0.3548659801
512	0.2618284434	0.3545621655
513	0.2614710958	0.3541115039
514	0.2613118361	0.3538721657
515	0.2612257182	0.353696444
516	0.2610385975	0.3533935073
517	0.2608504386	0.3531146323
518	0.2605678506	0.3527228572
519	0.2604253465	0.3524785794
520	0.2600492316	0.3520086927
521	0.2597458053	0.3515979308
522	0.2595989777	0.3513449937
523	0.259091104	0.3507866792
524	0.2589184039	0.3505651885
525	0.2585078572	0.3500165292
526	0.2582978785	0.3497632589
527	0.2581396712	0.3494988887
528	0.2580102291	0.349275894
529	0.2577089716	0.3489259113
530	0.2572379253	0.3483491644
531	0.2571041092	0.3481119222
532	0.2568108116	0.3477277146
533	0.2564534168	0.3473160888
534	0.2562374687	0.3469837081
535	0.255903197	0.3466014396
536	0.2556010504	0.3462363135
537	0.2553179215	0.3459143961
538	0.2550260885	0.3455855135
539	0.254739472	0.3451447783
540	0.2543022671	0.3446068071
541	0.2540726724	0.3443327181
542	0.2537214714	0.3438652391
543	0.2532138458	0.3432143511
544	0.252665848	0.342521692
545	0.252597813	0.3423809286
546	0.2524061491	0.3420982194
547	0.2522449835	0.3418788726
548	0.2516356462	0.3412111718
549	0.2515185314	0.3409834677
550	0.2512673316	0.3406585022
551	0.2510062998	0.3403000651
552	0.2506755799	0.3398920186
553	0.2505347286	0.3396583916
554	0.2501000601	0.3391083419
555	0.2498776875	0.3388152524
556	0.2497617135	0.3386341159
557	0.2493687928	0.3381403722
558	0.2489252427	0.3375780709
559	0.2487366436	0.3372889055
560	0.2482234434	0.3366923771
561	0.2478052461	0.3361557424
562	0.2474886237	0.3357904712
563	0.2472120012	0.3354344004
564	0.2471917154	0.3353983024
565	0.2471492309	0.3353240808
566	0.2467096921	0.3348284572
567	0.2463684772	0.3344151927
568	0.2460469043	0.3339784229
569	0.2459558043	0.3337957609
570	0.2456390216	0.3333286363
571	0.2453729799	0.332973867
572	0.2451142148	0.3326473439
573	0.2448604762	0.3323084405
574	0.244546452	0.3319048036
575	0.2445414886	0.3318901704
576	0.2443709963	0.3316554647
577	0.2441938884	0.3313511557
578	0.243896461	0.330990699
579	0.2435602507	0.3305662736
580	0.2435509549	0.3305423896
581	0.2434916405	0.3304039611
582	0.2430918299	0.3299534935
583	0.2426761777	0.3294851979
584	0.2424113964	0.3291208154
585	0.242167484	0.3287850875
586	0.24184637	0.3283324949
587	0.2415123769	0.327895958
588	0.2412748081	0.3275879645
589	0.2407176887	0.3269644002
590	0.2403464352	0.3265158142
591	0.2402600019	0.3263436033
592	0.2399741757	0.3259669058
593	0.2395791854	0.3254697023
594	0.239285126	0.3251252884
595	0.2392667732	0.3250965027
596	0.239246594	0.3250578935
597	0.2391101022	0.3248305553
598	0.2389260755	0.3245749538
599	0.2386602422	0.3242120401
600	0.2384001733	0.3238927364
601	0.2383856929	0.3238696092
602	0.238382802	0.3238555481
603	0.23808946	0.3234409483
604	0.2378360436	0.3230972108
605	0.2377685348	0.3229855593
606	0.2373978393	0.3225567645
607	0.2371988321	0.3222773709
608	0.2371773083	0.322246521
609	0.2369919631	0.3219826711
610	0.236939673	0.3218860845
611	0.2365624069	0.3214432453
612	0.2364329269	0.3212216435
613	0.2364233413	0.3212060698
614	0.2364130029	0.3211748084
615	0.2364054629	0.3211612887
616	0.2361538497	0.3208390796
617	0.2359734043	0.3205752336
618	0.235807889	0.3203688725
619	0.2356481873	0.3201268581
620	0.2355035294	0.3199060654
621	0.2354961769	0.3198770212
622	0.2351063628	0.3194134196
623	0.2350007893	0.3192487805
624	0.2348920993	0.3190854077
625	0.2344295211	0.3185074633
626	0.2343492708	0.3183474113
627	0.2339761542	0.3179128319
628	0.2334553765	0.3173781926
629	0.2333641516	0.3172275486
630	0.233251335	0.3170553079
631	0.232875714	0.3165677166
632	0.2327383342	0.316336434
633	0.2324261122	0.3159767261
634	0.2321783166	0.3156933556
635	0.2317052164	0.3152156799
636	0.231460454	0.3148647635
637	0.2312794345	0.3146177172
638	0.2309176683	0.3142088763
639	0.2307656749	0.3139812251
640	0.2305695529	0.3137013849
641	0.2303852437	0.313468935
642	0.2302408565	0.3132552435
643	0.2300724239	0.3129671973
644	0.2299305246	0.3127136238
645	0.2294987029	0.3121572804
646	0.2293869235	0.3119939167
647	0.229374059	0.3119654181
648	0.2292764689	0.3118045526
649	0.2287648509	0.3111528481
650	0.2284174519	0.3107302667
651	0.2281789679	0.3104247588
652	0.2280239735	0.3101713676
653	0.2278646826	0.3099049716
654	0.2274904744	0.309498772
655	0.2271747487	0.3091296209
656	0.226777082	0.3086512735
657	0.2265425737	0.3083558702
658	0.2261026726	0.307835517
659	0.2260841873	0.3078022943
660	0.2258161395	0.307445781
661	0.2255223201	0.3071316387
662	0.2253449326	0.3068703335
663	0.2252731116	0.3067565119
664	0.2250845088	0.3065321636
665	0.2249249828	0.3063161032
666	0.2246291217	0.3059902412
667	0.2244651102	0.3057828063
668	0.2240559852	0.3052904532
669	0.2239035161	0.3050774234
670	0.2235281016	0.3046535869
671	0.2233326572	0.3044113725
672	0.2230678702	0.3040898909
673	0.2229064572	0.303852954
674	0.2227114046	0.3035764808
675	0.2225588064	0.3033426882
676	0.2223685585	0.3030943141
677	0.22212879	0.3027909273
678	0.2219619329	0.3025647494
679	0.2219396207	0.302494548
680	0.2217456136	0.3021939874
681	0.2213464596	0.301729484
682	0.2212406159	0.3015499956
683	0.2210847823	0.3013067507
684	0.2209899685	0.3011687142
685	0.2208479531	0.3009851468
686	0.220736537	0.300786563
687	0.2205482092	0.3005217397
688	0.2201970493	0.3000994355
689	0.219996562	0.2998534723
690	0.2197632115	0.2995135915
691	0.2195664281	0.2992380704
692	0.219258839	0.2988652475
693	0.2190881839	0.2985925279
694	0.2189639351	0.298397214
695	0.2187765418	0.2981263036
696	0.2184879527	0.2977108487
697	0.218263668	0.2974162643
698	0.2180496148	0.2971517294
699	0.2178211216	0.2968269033
700	0.2175914326	0.296534048
701	0.2172530717	0.2960960429
702	0.2170555504	0.2958687475
703	0.2169781229	0.2957123203
704	0.2167263661	0.2953617185
705	0.2165225448	0.2950715657
706	0.2163804749	0.2948698178
707	0.2162385745	0.2946423476
708	0.2160388687	0.2943966539
709	0.2159774431	0.2942730239
710	0.2157667037	0.2939866319
711	0.2155858954	0.2936932556
712	0.2153447861	0.2933934878
713	0.215089134	0.2930942639
714	0.2148438183	0.2928094743
715	0.2145977609	0.2925162713
716	0.2144507541	0.2922858315
717	0.2143411452	0.2921127926
718	0.2142103699	0.2918865695
719	0.214093278	0.2916919877
720	0.2137989213	0.2912745848
721	0.2135118659	0.2909342983
722	0.2134025498	0.2907958432
723	0.2131767036	0.2904598408
724	0.2128900541	0.2901410028
725	0.2127949484	0.2899562937
726	0.2124886354	0.2895761953
727	0.2123390242	0.2893490153
728	0.212168454	0.2891156075
729	0.2118649809	0.2886302279
730	0.2115158136	0.2882512514
731	0.2113794417	0.2880754211
732	0.2112393455	0.2878797263
733	0.2109341677	0.287532567
734	0.2108370805	0.2873706548
735	0.2107270298	0.2872208529
736	0.2105896066	0.2870298087
737	0.2104189784	0.2867357959
738	0.2101892071	0.2864297157
739	0.2098771651	0.2860741795
740	0.2097007584	0.2858644153
741	0.2096008389	0.2857100949
742	0.2094099994	0.2854455003
743	0.2091805225	0.2851684342
744	0.2090878664	0.2850148854
745	0.2088286331	0.2847068955
746	0.2084246432	0.2842320004
747	0.2084003474	0.2841756637
748	0.2080702161	0.2838298109
749	0.2079582503	0.2836577383
750	0.207671069	0.283291237
751	0.2072723887	0.2828055442
752	0.2071034392	0.2825548934
753	0.2069264209	0.2822887787
754	0.2066388933	0.2819779828
755	0.2064647542	0.2817246763
756	0.2060262389	0.2812254398
757	0.2056166531	0.2807424783
758	0.2054361943	0.2805007939
759	0.2051646424	0.2801124844
760	0.2050513731	0.27994129
761	0.2048326852	0.2796960625
762	0.2048243738	0.279668868
763	0.2046254613	0.2794497989
764	0.2043973679	0.2791683571
765	0.2042643115	0.2790264856
766	0.2041237631	0.2787831824
767	0.2040507388	0.2786664034
768	0.2039247463	0.2784985773
769	0.2037203935	0.2782268635
770	0.2035300034	0.277961286
771	0.2030044519	0.2774244968
772	0.202898762	0.2772525305
773	0.202799593	0.2770763011
774	0.2026282237	0.2768805094
775	0.2024162818	0.2766345265
776	0.2020639645	0.2762214362
777	0.2018845727	0.2759847879
778	0.2015998078	0.2756215911
779	0.2014476001	0.27543378
780	0.2012678555	0.2752247316
781	0.2010543557	0.2749643266
782	0.2008623618	0.2746837821
783	0.2008469391	0.2746557949
784	0.2006662156	0.2744529066
785	0.2005842938	0.2743005692
786	0.2004994718	0.2741498896
787	0.2003817873	0.2739501703
788	0.2002301821	0.2737509164
789	0.20006995	0.273528107
790	0.1999902843	0.2733793657
791	0.1997929492	0.2731225969
792	0.1996396555	0.2728950971
793	0.1994970066	0.2727201764
794	0.1992784124	0.2724101794
795	0.1992679007	0.2723848426
796	0.1991473818	0.2722081437
797	0.1987875568	0.2717678556
798	0.198655796	0.2716147217
799	0.1984807334	0.2713709188
800	0.19831761	0.2711782707
801	0.1983010683	0.2711507209
802	0.1981191583	0.2709000237
803	0.1979272366	0.2706792539
804	0.1977503315	0.2704489063
805	0.1976167096	0.27028237
806	0.19748999	0.2701163723
807	0.1972192691	0.2698071372
808	0.1969587258	0.2695137637
809	0.196852097	0.2693600086
810	0.1966048133	0.2690545074
811	0.1965151547	0.2689237806
812	0.1963084612	0.2686854106
813	0.1960800666	0.2683575113
814	0.1959689736	0.2681934355
815	0.1958588674	0.2680200156
816	0.1956561917	0.2677359868
817	0.1953273914	0.2673215421
818	0.1951730695	0.2671085608
819	0.1950782226	0.2669583492
820	0.1949794101	0.2668208603
821	0.1947082526	0.2664671927
822	0.1945791023	0.2663078995
823	0.1945109239	0.2662043474
824	0.1943305725	0.2659616906
825	0.1943261417	0.2659342814
826	0.1942406255	0.2657903636
827	0.1940688103	0.2655926081
828	0.1939228028	0.2654048061
829	0.1938163083	0.2652480796
830	0.1933982798	0.2647944571
831	0.1933179939	0.2646717546
832	0.1929822645	0.2642972841
833	0.1928364968	0.2640917618
834	0.1926235222	0.2638137195
835	0.192471309	0.2636045692
836	0.1923818852	0.2634733439
837	0.1922388225	0.263285962
838	0.1919298026	0.2629441804
839	0.1915818435	0.2625333365
840	0.1913541397	0.2622463289
841	0.1910254425	0.261832131
842	0.1908437646	0.2615939285
843	0.190758906	0.2614353786
844	0.1906571846	0.2612620906
845	0.1905330841	0.2610820228
846	0.190434523	0.2609196688
847	0.1902186569	0.2606127333
848	0.1900157989	0.2603042801
849	0.1897238815	0.2600094635
850	0.1895200715	0.2597527109
851	0.1893142841	0.2595007859
852	0.1892409317	0.2593888181
853	0.1890872312	0.2591827684
854	0.1888229632	0.2588570808
855	0.1886261565	0.2586240819
856	0.1884296547	0.2584247122
857	0.1883235659	0.2582608301
858	0.1880913573	0.2579122507
859	0.1877525668	0.2575037435
860	0.187673575	0.257348076
861	0.1873039341	0.2569150491
862	0.1869761634	0.2565604954
863	0.1868360825	0.2563944346
864	0.186643011	0.2561609233
865	0.1865453999	0.2560261291
866	0.1865331146	0.2560032231
867	0.1862912966	0.2557354312
868	0.1860829352	0.2554461155
869	0.1858426818	0.2551884424
870	0.1858304096	0.2551576019
871	0.1856728088	0.2549455494
872	0.1854782823	0.254739815
873	0.1853240185	0.2545396946
874	0.1851499723	0.254327044
875	0.184944513	0.2540233746
876	0.1847668118	0.2537665377
877	0.1844524789	0.2533887087
878	0.1841491003	0.2530553188
879	0.1838867168	0.2527419943
880	0.1835921811	0.2524003661
881	0.1834732265	0.2522382959
882	0.1833401147	0.2520774135
883	0.1831351829	0.2518130216
884	0.1830880755	0.2517120302
